model_name,tm_score
afm_woTemplates_model_3_multimer_v3_pred_64.pdb,0.925
afm_dropout_full_model_4_multimer_v3_pred_23.pdb,0.925
afm_woTemplates_model_3_multimer_v3_pred_6.pdb,0.925
afm_woTemplates_model_2_multimer_v3_pred_40.pdb,0.925
afm_dropout_noSM_woTemplates_model_4_multimer_v3_pred_42.pdb,0.925
afm_dropout_full_model_3_multimer_v3_pred_13.pdb,0.925
afm_dropout_full_woTemplates_model_1_multimer_v2_pred_19.pdb,0.925
afm_dropout_full_model_2_multimer_v1_pred_10.pdb,0.925
afm_dropout_full_model_2_multimer_v1_pred_54.pdb,0.925
afm_dropout_full_model_2_multimer_v1_pred_8.pdb,0.925
afm_basic_model_1_multimer_v2_pred_48.pdb,0.925
afm_dropout_full_woTemplates_model_2_multimer_v1_pred_63.pdb,0.925
afm_basic_model_2_multimer_v1_pred_33.pdb,0.925
afm_basic_model_2_multimer_v1_pred_4.pdb,0.925
afm_basic_model_3_multimer_v3_pred_21.pdb,0.924
afm_basic_model_3_multimer_v3_pred_42.pdb,0.924
afm_dropout_noSM_woTemplates_model_4_multimer_v3_pred_1.pdb,0.924
afm_dropout_noSM_woTemplates_model_2_multimer_v1_pred_12.pdb,0.924
afm_dropout_full_woTemplates_model_4_multimer_v3_pred_54.pdb,0.924
afm_dropout_full_woTemplates_model_4_multimer_v3_pred_30.pdb,0.924
afm_dropout_full_model_3_multimer_v3_pred_40.pdb,0.924
afm_dropout_full_woTemplates_model_3_multimer_v3_pred_41.pdb,0.924
afm_dropout_noSM_woTemplates_model_4_multimer_v3_pred_21.pdb,0.924
afm_woTemplates_model_2_multimer_v1_pred_52.pdb,0.924
afm_dropout_full_model_3_multimer_v3_pred_47.pdb,0.924
afm_dropout_full_model_3_multimer_v3_pred_36.pdb,0.924
afm_woTemplates_model_2_multimer_v3_pred_43.pdb,0.924
afm_dropout_full_woTemplates_model_2_multimer_v1_pred_12.pdb,0.924
afm_dropout_noSM_woTemplates_model_3_multimer_v3_pred_5.pdb,0.924
afm_dropout_full_model_3_multimer_v3_pred_3.pdb,0.924
afm_dropout_full_model_3_multimer_v3_pred_44.pdb,0.924
afm_dropout_noSM_woTemplates_model_3_multimer_v3_pred_53.pdb,0.924
afm_dropout_noSM_woTemplates_model_2_multimer_v1_pred_22.pdb,0.924
afm_dropout_full_woTemplates_model_2_multimer_v1_pred_57.pdb,0.924
afm_dropout_noSM_woTemplates_model_3_multimer_v3_pred_42.pdb,0.924
afm_dropout_full_woTemplates_model_3_multimer_v3_pred_63.pdb,0.924
afm_dropout_noSM_woTemplates_model_4_multimer_v3_pred_30.pdb,0.924
afm_dropout_noSM_woTemplates_model_2_multimer_v1_pred_47.pdb,0.924
afm_woTemplates_model_3_multimer_v3_pred_46.pdb,0.924
afm_dropout_noSM_woTemplates_model_2_multimer_v1_pred_16.pdb,0.924
afm_dropout_full_woTemplates_model_3_multimer_v3_pred_8.pdb,0.923
afm_dropout_full_woTemplates_model_5_multimer_v1_pred_36.pdb,0.923
afm_dropout_full_woTemplates_model_3_multimer_v3_pred_27.pdb,0.923
afm_dropout_full_woTemplates_model_2_multimer_v1_pred_1.pdb,0.923
afm_dropout_full_model_3_multimer_v3_pred_25.pdb,0.923
afm_dropout_noSM_woTemplates_model_2_multimer_v1_pred_14.pdb,0.923
afm_dropout_full_woTemplates_model_3_multimer_v3_pred_11.pdb,0.923
afm_dropout_full_model_3_multimer_v3_pred_32.pdb,0.923
afm_dropout_full_woTemplates_model_5_multimer_v1_pred_33.pdb,0.923
afm_dropout_full_woTemplates_model_3_multimer_v3_pred_26.pdb,0.923
afm_dropout_noSM_woTemplates_model_4_multimer_v3_pred_2.pdb,0.923
afm_basic_model_3_multimer_v3_pred_9.pdb,0.923
afm_basic_model_2_multimer_v3_pred_26.pdb,0.923
afm_dropout_full_model_3_multimer_v3_pred_33.pdb,0.923
afm_dropout_full_model_2_multimer_v1_pred_55.pdb,0.923
afm_basic_model_2_multimer_v3_pred_23.pdb,0.923
afm_basic_model_2_multimer_v3_pred_54.pdb,0.923
