model_name,tm_score
afm_basic_model_2_multimer_v1_pred_10.pdb,0.742
afm_dropout_full_model_3_multimer_v1_pred_14.pdb,0.742
afm_dropout_full_model_3_multimer_v1_pred_13.pdb,0.742
afm_dropout_full_model_4_multimer_v1_pred_12.pdb,0.741
afm_dropout_full_model_3_multimer_v1_pred_6.pdb,0.741
afm_basic_model_3_multimer_v1_pred_14.pdb,0.741
afm_dropout_full_model_3_multimer_v1_pred_12.pdb,0.741
afm_dropout_full_model_4_multimer_v1_pred_0.pdb,0.741
afm_dropout_full_model_3_multimer_v1_pred_11.pdb,0.741
afm_dropout_full_model_4_multimer_v1_pred_4.pdb,0.741
afm_dropout_full_model_4_multimer_v3_pred_15.pdb,0.741
afm_dropout_full_model_3_multimer_v1_pred_9.pdb,0.74
afm_dropout_full_model_4_multimer_v1_pred_8.pdb,0.74
afm_dropout_full_model_3_multimer_v1_pred_10.pdb,0.74
afm_dropout_full_model_4_multimer_v1_pred_10.pdb,0.74
afm_dropout_full_model_1_multimer_v3_pred_14.pdb,0.74
afm_dropout_full_model_4_multimer_v3_pred_16.pdb,0.74
afm_dropout_full_model_1_multimer_v3_pred_10.pdb,0.74
afm_basic_model_4_multimer_v1_pred_9.pdb,0.74
afm_dropout_full_model_3_multimer_v1_pred_8.pdb,0.74
afm_dropout_full_model_1_multimer_v3_pred_5.pdb,0.74
afm_dropout_full_model_1_multimer_v3_pred_8.pdb,0.739
afm_dropout_full_model_4_multimer_v1_pred_15.pdb,0.739
afm_dropout_full_model_5_multimer_v1_pred_6.pdb,0.739
afm_dropout_full_model_1_multimer_v3_pred_3.pdb,0.739
afm_dropout_full_model_3_multimer_v1_pred_7.pdb,0.739
afm_basic_model_3_multimer_v1_pred_3.pdb,0.738
afm_dropout_full_model_4_multimer_v1_pred_7.pdb,0.738
afm_dropout_full_model_5_multimer_v1_pred_16.pdb,0.738
afm_basic_model_5_multimer_v2_pred_9.pdb,0.738
afm_basic_model_4_multimer_v1_pred_10.pdb,0.738
afm_dropout_full_model_5_multimer_v1_pred_9.pdb,0.738
afm_basic_model_3_multimer_v1_pred_2.pdb,0.738
afm_dropout_full_model_1_multimer_v3_pred_2.pdb,0.738
afm_dropout_full_model_5_multimer_v1_pred_11.pdb,0.738
afm_dropout_full_model_5_multimer_v1_pred_0.pdb,0.738
afm_dropout_full_model_4_multimer_v1_pred_16.pdb,0.738
afm_dropout_full_model_5_multimer_v1_pred_13.pdb,0.738
afm_dropout_full_model_5_multimer_v2_pred_4.pdb,0.738
afm_basic_model_4_multimer_v1_pred_12.pdb,0.737
afm_basic_model_5_multimer_v2_pred_11.pdb,0.737
afm_dropout_full_model_4_multimer_v1_pred_6.pdb,0.737
afm_basic_model_1_multimer_v3_pred_7.pdb,0.737
afm_dropout_full_model_5_multimer_v1_pred_12.pdb,0.737
afm_dropout_full_model_5_multimer_v1_pred_3.pdb,0.736
afm_dropout_full_model_5_multimer_v1_pred_2.pdb,0.736
afm_dropout_full_model_5_multimer_v1_pred_1.pdb,0.736
afm_dropout_full_model_1_multimer_v3_pred_13.pdb,0.736
afm_dropout_full_model_1_multimer_v3_pred_16.pdb,0.736
afm_basic_model_1_multimer_v3_pred_6.pdb,0.736
afm_basic_model_3_multimer_v1_pred_1.pdb,0.736
afm_basic_model_3_multimer_v1_pred_6.pdb,0.736
afm_basic_model_1_multimer_v3_pred_15.pdb,0.736
afm_basic_model_4_multimer_v1_pred_0.pdb,0.736
afm_basic_model_3_multimer_v1_pred_4.pdb,0.735
afm_dropout_full_model_5_multimer_v1_pred_10.pdb,0.735
afm_basic_model_3_multimer_v1_pred_11.pdb,0.735
afm_basic_model_3_multimer_v1_pred_12.pdb,0.735
afm_basic_model_4_multimer_v1_pred_8.pdb,0.735
afm_basic_model_3_multimer_v1_pred_13.pdb,0.735
afm_dropout_full_model_5_multimer_v1_pred_5.pdb,0.735
afm_dropout_full_model_5_multimer_v1_pred_4.pdb,0.735
afm_basic_model_4_multimer_v1_pred_5.pdb,0.735
afm_dropout_full_model_5_multimer_v1_pred_15.pdb,0.735
afm_dropout_full_model_1_multimer_v3_pred_1.pdb,0.735
afm_dropout_full_model_5_multimer_v1_pred_7.pdb,0.735
afm_basic_model_3_multimer_v1_pred_8.pdb,0.734
afm_basic_model_3_multimer_v1_pred_16.pdb,0.734
afm_dropout_full_model_4_multimer_v1_pred_5.pdb,0.734
afm_basic_model_4_multimer_v1_pred_1.pdb,0.734
afm_basic_model_3_multimer_v1_pred_7.pdb,0.734
afm_basic_model_3_multimer_v1_pred_0.pdb,0.734
afm_dropout_full_model_4_multimer_v2_pred_9.pdb,0.733
afm_dropout_full_model_4_multimer_v1_pred_1.pdb,0.733
afm_basic_model_3_multimer_v1_pred_5.pdb,0.733
afm_dropout_full_model_4_multimer_v2_pred_10.pdb,0.733
afm_basic_model_5_multimer_v1_pred_9.pdb,0.733
afm_basic_model_5_multimer_v2_pred_14.pdb,0.733
afm_dropout_full_model_5_multimer_v2_pred_13.pdb,0.733
afm_basic_model_4_multimer_v2_pred_8.pdb,0.733
afm_dropout_full_model_4_multimer_v2_pred_6.pdb,0.733
afm_dropout_full_model_4_multimer_v2_pred_7.pdb,0.733
afm_basic_model_3_multimer_v1_pred_9.pdb,0.733
afm_dropout_full_model_5_multimer_v1_pred_8.pdb,0.733
afm_dropout_full_model_3_multimer_v2_pred_2.pdb,0.733
afm_dropout_full_model_1_multimer_v3_pred_6.pdb,0.732
afm_basic_model_3_multimer_v2_pred_15.pdb,0.732
afm_basic_model_4_multimer_v2_pred_11.pdb,0.732
afm_basic_model_4_multimer_v2_pred_1.pdb,0.732
afm_dropout_full_model_4_multimer_v2_pred_0.pdb,0.732
afm_basic_model_4_multimer_v2_pred_10.pdb,0.732
afm_basic_model_3_multimer_v1_pred_10.pdb,0.732
afm_dropout_full_model_3_multimer_v2_pred_7.pdb,0.732
afm_dropout_full_model_5_multimer_v2_pred_16.pdb,0.732
afm_basic_model_4_multimer_v1_pred_15.pdb,0.732
afm_basic_model_3_multimer_v1_pred_15.pdb,0.732
afm_dropout_full_model_3_multimer_v2_pred_8.pdb,0.732
afm_dropout_full_model_4_multimer_v2_pred_14.pdb,0.731
afm_dropout_full_model_4_multimer_v2_pred_5.pdb,0.731
afm_basic_model_4_multimer_v2_pred_9.pdb,0.731
afm_basic_model_3_multimer_v2_pred_4.pdb,0.731
afm_basic_model_4_multimer_v2_pred_6.pdb,0.731
afm_basic_model_4_multimer_v2_pred_0.pdb,0.731
afm_dropout_full_model_4_multimer_v2_pred_4.pdb,0.731
afm_dropout_full_model_5_multimer_v2_pred_2.pdb,0.731
afm_dropout_full_model_3_multimer_v2_pred_12.pdb,0.731
afm_basic_model_4_multimer_v2_pred_2.pdb,0.731
afm_basic_model_4_multimer_v2_pred_5.pdb,0.731
afm_basic_model_3_multimer_v2_pred_16.pdb,0.731
afm_basic_model_3_multimer_v2_pred_9.pdb,0.731
afm_basic_model_4_multimer_v2_pred_14.pdb,0.731
afm_basic_model_4_multimer_v2_pred_12.pdb,0.731
afm_dropout_full_model_5_multimer_v1_pred_14.pdb,0.731
afm_dropout_full_model_3_multimer_v2_pred_15.pdb,0.731
afm_basic_model_4_multimer_v2_pred_15.pdb,0.731
afm_basic_model_4_multimer_v2_pred_13.pdb,0.731
afm_basic_model_4_multimer_v1_pred_11.pdb,0.731
afm_dropout_full_model_5_multimer_v2_pred_10.pdb,0.731
afm_basic_model_4_multimer_v2_pred_7.pdb,0.731
afm_basic_model_1_multimer_v2_pred_9.pdb,0.731
