group,oligo_gdtha,H1236_lddt,qs_global,H1236_rmsd,H1236_ics,dockq_ave,H1236_ilddt,oligo_gdtts,dockq_wave,H1236_ips,qs_best,tm_score
QAmean_plddt_2,0.012379000000000003,0.002860000000000005,0.06709700000000006,251.704655,0.05330500000000003,0.21634,0.02226800000000003,0.009496000000000017,0.10699900000000002,0.03665500000000001,0.06701900000000006,0.012737999999999992
QA212_2,0.4532460000000001,1.2316280000000002,1.411288,3250.4814149999997,1.4430200000000002,0.453219,1.4424710000000003,0.7006110000000001,0.5992799999999999,0.8483079999999998,1.4220220000000003,1.2949260000000002
QA273_2,0.254616,0.019063000000000035,0.09769300000000006,2648.518597,0.06115900000000006,0.08026099999999999,0.12190100000000004,0.3702520000000001,0.10168600000000001,0.15108400000000002,0.09470200000000006,0.593558
QA476_2,0.25749500000000003,0.046776000000000026,0.16067300000000007,1083.4776579999998,0.08807700000000004,0.3171010000000001,0.19075000000000006,0.34437000000000006,0.2659040000000001,0.477232,0.16248300000000007,0.57539
QA122_2,0.019351,0.0023550000000000042,0.06961100000000006,256.725764,0.05978700000000005,0.20831000000000002,0.017851000000000034,0.013187000000000022,0.10333800000000001,0.05264299999999998,0.06916500000000006,0.013479999999999994
QA207_2,0.007771000000000002,0.0012510000000000023,0.06486000000000006,253.10010699999998,0.05961000000000005,0.16972600000000004,0.013852000000000024,0.004610000000000008,0.08375300000000004,0.041923,0.06337800000000005,0.013162999999999992
QA217_2,0.265884,0.04645900000000004,0.12528400000000006,1938.3440339999997,0.08065100000000004,0.197098,0.20117900000000005,0.3004940000000001,0.23693100000000006,0.26576299999999997,0.12601800000000007,0.439967
QA319_2,0.024026000000000006,0.0025060000000000043,0.08183500000000007,261.964017,0.07850800000000008,0.214847,0.027711000000000034,0.014512000000000025,0.12614200000000003,0.064773,0.08113400000000007,0.014477999999999994
QA443_2,0.227274,0.026280000000000043,0.048965000000000036,277.806209,0.034297000000000036,0.19899399999999995,0.12371900000000007,0.2499230000000001,0.20524900000000001,0.19611400000000007,0.049131000000000036,0.072354
QA188_2,0.17396700000000004,0.012385000000000021,0.13119900000000007,4326.127939,0.07905000000000006,0.107057,0.14295700000000008,0.2674820000000001,0.11243600000000002,0.22683400000000004,0.12877700000000009,0.6984889999999999
QAptm_2,0.008806999999999999,0.001647000000000003,0.05310300000000006,255.76755400000002,0.059919000000000056,0.18866900000000003,0.017335000000000024,0.0049120000000000075,0.09758000000000001,0.055596999999999994,0.053643000000000066,0.012726999999999995
QA110_2,0.023319000000000003,0.005943000000000011,0.12000900000000005,274.42666099999997,0.11387900000000004,0.288615,0.05592000000000004,0.014462000000000025,0.168256,0.09589600000000002,0.12099200000000006,0.014899999999999998
QA314_2,0.020826000000000008,0.002670000000000005,0.07934100000000008,265.890134,0.07963000000000006,0.215932,0.027508000000000015,0.012893000000000022,0.12553000000000003,0.073904,0.07959800000000007,0.015249999999999996
QA331_2,0.014785000000000005,0.0019350000000000033,0.08128400000000006,254.842626,0.06737500000000006,0.174066,0.012251000000000022,0.012072000000000022,0.07836500000000003,0.036763,0.07872500000000006,0.015655
QA425_2,0.018635000000000002,0.0037100000000000067,0.07206100000000007,268.36763799999994,0.06978200000000007,0.23957500000000004,0.029684000000000016,0.01110600000000002,0.12054700000000002,0.070752,0.07331800000000008,0.014610999999999996
QA050_2,0.02637900000000001,0.0020080000000000037,0.06521000000000006,251.99564900000001,0.05525800000000006,0.182078,0.017927000000000026,0.018625000000000034,0.09787600000000003,0.05854799999999999,0.06502600000000006,0.011753999999999994
