group,H1215_ics,tm_score,qs_best,H1215_ips,dockq_wave,oligo_gdtha,H1215_rmsd,dockq_ave,H1215_lddt,oligo_gdtts,qs_global,H1215_ilddt
QA272_2,0.024655000000000017,1.000000000000002e-05,0.000949999999999991,0.07784500000000001,0.0032110000000000055,0.0006340000000000012,0.01587900000000003,0.0032110000000000055,0.0,0.00016900000000000029,0.04515900000000005,0.0002049999999999964
QA443_2,2.4336150000000005,0.29237099999999994,2.6224810000000005,0.5100909999999999,2.6421539999999997,0.508196,216.381112,2.6421539999999997,0.08604900000000004,0.5478229999999998,2.5435100000000004,1.769468
QA319_2,2.437139,0.28657099999999996,2.612338,0.436239,2.612712,0.509456,210.538303,2.612712,0.09707400000000001,0.5458259999999998,2.5334430000000006,1.821818
QA148_2,2.159503,0.333262,2.180531,0.6138309999999999,2.5949230000000005,0.5075930000000001,160.834875,2.5949230000000005,0.07621400000000005,0.5018549999999997,2.10786,1.9763889999999997
QA080_2,3.810939,0.6612669999999999,3.883847,2.216236,3.4597569999999997,0.40444400000000014,751.338238,3.4597569999999997,0.3047550000000001,0.652406,3.8972320000000003,3.153097999999999
QA029_2,3.574282,0.5483129999999999,3.3458740000000002,1.714369,3.2695350000000007,0.4144390000000001,525.50611,3.2695350000000007,0.12699400000000005,0.619655,3.4774920000000002,2.8093209999999997
QAiptm+ptm_2,0.9028449999999999,0.140632,0.874817,0.6988960000000001,0.825968,0.08457900000000002,193.77901300000002,0.825968,0.008674000000000017,0.13484400000000002,0.9088409999999999,0.6195439999999999
QA446_2,0.8880060000000001,0.14064300000000002,0.8744469999999999,0.6473570000000001,0.8257330000000002,0.09083100000000004,193.78731,0.8257330000000002,0.012726000000000025,0.13489700000000002,0.8708329999999999,0.6245399999999999
QA212_2,3.7261990000000003,0.61497,3.7189229999999998,1.9752219999999998,3.6313150000000003,0.5317359999999999,1092.482338,3.6313150000000003,0.12082100000000004,0.6201869999999999,3.626434,3.0504249999999997
QA273_2,3.2638080000000005,0.4513980000000001,3.299151,1.289011,3.1472640000000003,0.376051,515.408947,3.1472640000000003,0.06454300000000003,0.5753609999999999,3.5182360000000004,2.3624569999999996
QA337_2,4.104055000000001,0.700129,4.3936589999999995,2.4243829999999997,3.975344,0.4050070000000001,1290.4762660000001,3.975344,0.07164600000000007,0.665408,4.2912859999999995,3.2870919999999995
QAiptm_2,0.9028449999999999,0.140632,0.874817,0.6988960000000001,0.825968,0.08457900000000002,193.77901300000002,0.825968,0.008674000000000017,0.13484400000000002,0.9088409999999999,0.6195439999999999
QA312_2,3.7655320000000003,0.5269039999999999,3.6506979999999998,2.1549750000000003,3.5828980000000006,0.48483499999999996,899.767548,3.5828980000000006,0.05140000000000001,0.5596099999999999,3.7423780000000004,2.823307
QA164_2,0.004689999999999992,0.0003940000000000007,0.0022419999999999975,0.016098000000000015,0.01639600000000003,0.03164999999999999,0.337046,0.01639600000000003,0.01831900000000003,0.007352999999999981,0.006311000000000004,0.04184599999999998
QA345_2,0.024515000000000023,9.000000000000017e-06,0.0008559999999999912,0.07797300000000003,0.0030510000000000055,0.000561000000000001,0.013559000000000024,0.0030510000000000055,4.0000000000000074e-06,0.00013800000000000024,0.03946300000000005,0.00012499999999999713
QA264_2,0.006752999999999987,0.0006670000000000013,0.0028109999999999945,0.019427000000000035,0.024902000000000018,0.04150100000000002,0.5160440000000003,0.024902000000000018,0.01869100000000003,0.012199999999999989,0.002108999999999994,0.08122299999999996
QA393_2,3.8613340000000003,0.6456010000000001,4.050558,1.946921,3.75498,0.4581140000000001,682.5425290000001,3.75498,0.07304400000000001,0.656242,3.986002,2.868235
QA051_2,0.6971980000000001,0.066052,0.5015339999999999,0.458296,0.619997,0.11507399999999998,21.971044000000003,0.619997,0.009050000000000016,0.08882899999999995,0.6278700000000002,0.4070949999999998
