group,oligo_gdtts,H1229_lddt,H1229_ips,H1229_ilddt,H1229_rmsd,oligo_gdtha,H1229_ics,tm_score,dockq_wave,qs_global,qs_best,dockq_ave
QA264_2,0.01053100000000002,0.0034659999999999773,0.604321,0.660235,2.2491130000000004,0.01088500000000002,0.8685009999999999,0.001751000000000003,0.23875800000000005,0.7172550000000001,0.651502,0.23875800000000005
QA164_2,0.013742000000000023,0.0038219999999999765,0.5415420000000001,0.555436,2.563939,0.015094000000000026,0.664979,0.0026020000000000045,0.23259600000000002,0.6845230000000001,0.693954,0.23259600000000002
QA345_2,0.01979400000000002,0.00818499999999997,0.534141,0.644362,4.322387999999998,0.02380400000000004,0.6360229999999999,0.003443000000000006,0.23352500000000004,0.7319400000000001,0.687449,0.23352500000000004
QA051_2,0.01689400000000003,0.004810999999999975,0.5188530000000001,0.605187,3.3761620000000008,0.021259000000000035,0.6496629999999999,0.0026980000000000046,0.22658200000000003,0.682598,0.6420949999999999,0.22658200000000003
QA393_2,0.012794000000000022,0.004556999999999974,0.5061050000000001,0.507756,2.1868709999999996,0.01737300000000003,0.686723,0.0019660000000000033,0.20686600000000005,0.561099,0.5391089999999998,0.20686600000000005
QA148_2,0.015156000000000025,0.003785999999999977,0.5759080000000001,0.679355,2.7439289999999987,0.015805000000000027,0.8567479999999998,0.0019630000000000034,0.23181700000000005,0.6486900000000001,0.5764389999999999,0.23181700000000005
QA080_2,0.009973000000000017,0.005650999999999972,0.5622750000000001,0.682342,1.4379880000000005,0.010957000000000019,0.7995549999999999,0.0015660000000000027,0.20780800000000005,0.6132060000000001,0.5753109999999999,0.20780800000000005
QAmean_plddt_2,0.011883000000000022,0.0029439999999999788,0.5692870000000001,0.810314,3.1003869999999987,0.01129600000000002,0.9902389999999999,0.0019320000000000036,0.27217,0.790629,0.6859669999999998,0.27217
QA029_2,0.017076000000000032,0.0034179999999999775,0.538927,0.6108890000000001,4.829975999999999,0.020022000000000036,0.6747259999999999,0.0031350000000000054,0.2661160000000001,0.6806230000000002,0.660352,0.2661160000000001
QAiptm_2,0.020451000000000007,0.005275999999999976,0.596147,0.577074,3.5579950000000005,0.02674700000000005,0.717891,0.0027970000000000048,0.22824300000000003,0.7039700000000002,0.643278,0.22824300000000003
QA212_2,0.015359000000000012,0.012117999999999967,0.48137,0.816964,2.4615859999999996,0.018881000000000033,0.7241549999999999,0.0019330000000000033,0.19100500000000004,0.5326310000000001,0.4585579999999999,0.19100500000000004
QA273_2,0.020457000000000003,0.005275999999999977,0.595673,0.577534,3.557745,0.026751000000000046,0.7177229999999999,0.0027970000000000048,0.22813300000000009,0.7040200000000002,0.6432579999999999,0.22813300000000009
QA312_2,0.014147000000000024,0.0033489999999999783,0.5024500000000001,0.516861,1.9700229999999994,0.019364000000000034,0.7025759999999999,0.001789000000000003,0.19490700000000005,0.551813,0.505801,0.19490700000000005
