group,oligo_gdtts,H1217_lddt,H1217_rmsd,oligo_gdtha,qs_best,tm_score,H1217_ips,dockq_ave,H1217_ilddt,H1217_ics,dockq_wave,qs_global
QA122_2,1.3439549999999996,0.7033479999999999,30415.841239000005,0.8007270000000001,0.9485399999999998,1.448362,1.013766,1.4291430000000003,1.192584,0.7975689999999999,1.1815,0.8774390000000002
QA476_2,0.038101999999999976,0.0021399999999999874,801.1469639999999,0.039844000000000025,0.00610699999999998,0.0031710000000000054,0.007139999999999999,0.0020120000000000034,0.0016340000000000029,0.006376999999999989,0.0014139999999999884,0.02339600000000001
QA273_2,1.3439549999999996,0.7033479999999999,30415.841239000005,0.8007270000000001,0.9485399999999998,1.448362,1.013766,1.4291430000000003,1.192584,0.7975689999999999,1.1815,0.8774390000000002
QA212_2,0.03266199999999998,0.0027349999999999827,734.3476880000001,0.03617100000000002,0.018755999999999984,0.0023340000000000045,0.01735399999999999,0.0026760000000000043,0.00557800000000001,0.011239999999999986,0.002076999999999984,0.031688999999999995
QA312_2,0.034715999999999976,0.0009179999999999926,906.4730050000001,0.03573100000000002,0.003348999999999983,0.0032350000000000057,0.0021220000000000037,0.001699000000000003,0.0006510000000000012,0.0023000000000000043,0.0014189999999999865,0.005712999999999998
QA446_2,0.03560599999999997,0.0007949999999999938,866.7605910000001,0.037992000000000026,0.005346999999999982,0.0030510000000000055,0.005050999999999994,0.001666000000000003,0.00037000000000000065,0.006315999999999995,0.0013049999999999893,0.0194
QA080_2,0.04730999999999999,0.09365399999999993,384.2680579999999,0.04403600000000002,1.1523989999999997,0.0031280000000000058,0.5760069999999999,0.0010660000000000018,0.07716200000000001,1.4683199999999998,0.0008589999999999971,2.112903
QA148_2,0.03144699999999997,0.0010219999999999923,768.4962550000001,0.034738000000000026,0.0008789999999999914,0.0026720000000000047,0.00909999999999999,0.0012380000000000021,0.001046000000000002,0.0046099999999999934,0.0009509999999999883,0.01781100000000003
QA051_2,0.044871999999999974,0.0017789999999999933,796.945035,0.047192000000000026,0.0063579999999999765,0.003618000000000006,0.0008040000000000015,0.0026260000000000046,0.003402000000000006,0.002151999999999995,0.0023499999999999806,0.005992000000000005
QA393_2,0.033617999999999974,0.0006999999999999941,909.9317550000001,0.034563000000000024,0.0032629999999999825,0.0031390000000000055,0.0014860000000000027,0.0014270000000000025,0.000579000000000001,0.0016120000000000032,0.001280999999999987,0.005117000000000001
QAiptm_2,0.02988999999999998,0.002577999999999984,1081.838055,0.03135100000000002,0.02733099999999995,0.002876000000000005,0.028615,0.0011430000000000019,0.00030100000000000054,0.03583300000000001,0.0010859999999999904,0.08288200000000001
QAmean_plddt_2,0.02869699999999998,0.001666999999999988,989.4100540000001,0.02964200000000002,0.004769999999999979,0.002706000000000005,0.019778000000000007,0.0017630000000000033,0.00043600000000000084,0.019017000000000003,0.0013379999999999892,0.05489500000000003
QA264_2,0.03434399999999997,0.0007639999999999935,906.4297610000001,0.034925000000000025,0.0033049999999999833,0.0032090000000000057,0.0017060000000000029,0.001723000000000003,0.0006610000000000012,0.002332000000000004,0.0014469999999999874,0.006082999999999994
QA164_2,0.03748499999999998,0.0033469999999999845,708.48577,0.04205100000000003,0.003762999999999985,0.002511000000000004,0.0014800000000000028,0.003790000000000007,0.004831000000000009,0.0020209999999999946,0.0030359999999999823,0.005041000000000009
QA345_2,0.044871999999999974,0.0017789999999999933,796.945035,0.047192000000000026,0.0063579999999999765,0.003618000000000006,0.0008040000000000015,0.0026260000000000046,0.003402000000000006,0.002151999999999995,0.0023499999999999806,0.005992000000000005
