group,dockq_ave,oligo_gdtha,T1240_lddt,oligo_gdtts,T1240_rmsd,dockq_wave,T1240_ilddt,qs_global,qs_best,T1240_ips,tm_score,T1240_ics
QA425_2,0.715186,0.14853600000000006,0.002661999999999987,0.3821219999999999,378.708738,0.715186,0.013106999999999968,0.004848999999999998,0.05392200000000002,0.0009200000000000007,0.46330799999999994,0.007241999999999993
QA331_2,0.721633,0.15381900000000004,0.0031869999999999876,0.387926,416.1568050000001,0.721633,0.014592999999999967,0.0048239999999999976,0.058542000000000025,0.0018070000000000015,0.5017189999999999,0.008492999999999995
QA050_2,0.704507,0.14561300000000005,0.0011550000000000022,0.39366599999999996,420.38918799999993,0.704507,0.01025899999999997,0.004761999999999997,0.05671300000000002,0.0006990000000000013,1.095599,0.005261999999999996
QA345_2,0.762051,0.14958700000000003,0.0025989999999999924,0.41088099999999994,474.566235,0.762051,0.012542999999999967,0.004958999999999996,0.05728700000000002,0.0013999999999999993,0.8196720000000001,0.00798199999999999
QA164_2,0.7202909999999999,0.16660700000000006,0.0029499999999999887,0.40335799999999994,504.202898,0.7202909999999999,0.01673499999999997,0.0047559999999999955,0.05441000000000002,0.001769999999999998,0.886878,0.007654999999999992
QA264_2,0.6987979999999999,0.14849100000000004,0.004146999999999975,0.37039899999999987,328.606078,0.6987979999999999,0.01702299999999997,0.004344999999999998,0.052891000000000014,0.0011350000000000021,0.45161899999999994,0.006675999999999993
QA393_2,0.6987979999999999,0.14849100000000004,0.004146999999999975,0.37039899999999987,328.606078,0.6987979999999999,0.01702299999999997,0.004344999999999998,0.052891000000000014,0.0011350000000000021,0.45161899999999994,0.006675999999999993
QA051_2,0.6835539999999999,0.15554400000000004,0.002884999999999988,0.37793299999999996,341.63736100000006,0.6835539999999999,0.013549999999999968,0.004650999999999998,0.05715000000000002,0.0017670000000000014,0.497814,0.007923999999999999
QA029_2,0.6155219999999999,0.13045400000000004,0.0032579999999999853,0.33705299999999994,377.8166859999999,0.6155219999999999,0.010790999999999969,0.004499999999999997,0.05039700000000001,0.001933999999999999,0.4531029999999999,0.009506999999999993
QA080_2,0.7442,0.15200700000000006,0.0026759999999999926,0.3985829999999999,438.22863400000006,0.7442,0.012565999999999968,0.004474999999999998,0.063522,0.0018950000000000017,0.5569550000000001,0.00932599999999999
QA148_2,0.6900489999999999,0.14476900000000004,0.002667999999999999,0.3709939999999999,326.77284099999997,0.6900489999999999,0.011535999999999968,0.005393999999999996,0.054580000000000024,0.0009400000000000016,0.45110999999999996,0.006785999999999993
QAiptm_2,0.811805,0.14800000000000002,0.0015990000000000028,0.439842,565.9944800000001,0.811805,0.011193999999999968,0.004093999999999999,0.06105200000000002,0.0016540000000000007,1.1558039999999998,0.006898999999999993
QA446_2,0.6653589999999998,0.15641400000000005,0.0019470000000000034,0.3741399999999999,335.057633,0.6653589999999998,0.009483999999999968,0.004208999999999999,0.05301900000000001,0.0015560000000000007,0.518645,0.006170999999999996
QAmean_plddt_2,0.783766,0.147935,0.0019670000000000035,0.4233349999999999,616.997589,0.783766,0.007778999999999972,0.004214999999999998,0.05496000000000002,0.0012550000000000024,0.9504429999999999,0.006918999999999991
QA312_2,0.701915,0.14817500000000006,0.003505999999999986,0.3677609999999999,320.028685,0.701915,0.017576999999999968,0.004389999999999998,0.05306100000000002,0.0010780000000000021,0.44606699999999994,0.007678999999999993
QA212_2,0.764074,0.16205000000000003,0.004745999999999974,0.4006849999999999,464.057587,0.764074,0.026050999999999967,0.004150999999999998,0.060295000000000015,0.0013290000000000016,0.585318,0.008542999999999995
