group,dockq_wave,H1233_rmsd,H1233_ilddt,H1233_lddt,H1233_ips,dockq_ave,oligo_gdtha,H1233_ics,qs_best,qs_global,tm_score,oligo_gdtts
QA217_2,0.226514,194.14477899999997,1.149827,1.346034,0.17549000000000003,0.04763000000000002,0.37678900000000004,0.8250820000000003,1.3263260000000003,0.5525919999999999,0.08438599999999999,0.259733
QA207_2,0.019898999999999993,464.02490599999993,0.04555599999999995,0.006224999999999975,0.023713000000000005,0.005966000000000004,0.025206999999999997,0.09741800000000006,0.21165900000000012,0.07040099999999999,0.012360000000000005,0.009679
QA476_2,0.03261200000000001,222.88897899999998,0.03705399999999999,0.006718999999999977,0.017169,0.011315999999999996,0.02737299999999999,0.03714700000000004,0.007866000000000015,0.0044669999999999935,0.011386000000000002,0.009579999999999998
QA122_2,0.037891999999999974,111.82960800000001,0.06187999999999997,0.007842999999999972,0.06075700000000002,0.009274000000000004,0.044737999999999986,0.08761800000000007,0.15721900000000008,0.05782899999999998,0.014323000000000006,0.016911
QA312_2,0.001127000000000002,52.17805199999997,0.015250999999999968,0.013417999999999966,0.049383,0.0013000000000000023,0.0017720000000000032,0.08161000000000007,0.27400000000000013,0.08776600000000001,0.011618000000000003,3.5000000000000065e-05
QA273_2,0.46613499999999997,270.90013899999997,1.1114779999999997,1.0028659999999998,0.19732400000000003,0.091231,0.352076,1.0096890000000003,1.6202690000000002,0.736826,0.165738,0.31965899999999997
QA212_2,0.351163,821.8772039999999,1.290285,1.6725869999999998,0.37734200000000007,0.12269900000000002,0.145087,1.2859870000000002,1.8467880000000003,0.9359979999999999,0.04261400000000001,0.11000299999999998
QA446_2,0.033455000000000006,254.11968399999995,0.046478999999999986,0.003653999999999981,0.021606000000000007,0.009614000000000004,0.028947999999999995,0.05063500000000004,0.008563000000000015,0.0065829999999999925,0.011878000000000005,0.012732999999999994
QAmean_plddt_2,0.0008260000000000014,250.960012,0.013756999999999967,0.007472999999999973,0.026871,0.0009140000000000016,0.0026020000000000006,0.06829100000000006,0.21199000000000007,0.06844599999999999,0.010907000000000002,0.00018100000000000033
QAiptm_2,0.043363,409.378983,0.07695899999999997,0.008742999999999973,0.04642800000000002,0.013698000000000009,0.035157999999999995,0.12432000000000007,0.19681100000000007,0.07952199999999998,0.013183000000000005,0.013922
QA029_2,0.226514,194.14477899999997,1.149827,1.346034,0.17549000000000003,0.04763000000000002,0.37678900000000004,0.8250820000000003,1.3263260000000003,0.5525919999999999,0.08438599999999999,0.259733
QA080_2,0.279093,383.07412999999997,1.4951259999999997,1.972858,0.27982200000000007,0.046407000000000004,0.159085,1.1420010000000003,1.9012730000000002,0.8937270000000002,0.145014,0.18078
QA148_2,0.001127000000000002,52.17805199999997,0.015250999999999968,0.013417999999999966,0.049383,0.0013000000000000023,0.0017720000000000032,0.08161000000000007,0.27400000000000013,0.08776600000000001,0.011618000000000003,3.5000000000000065e-05
QA051_2,0.0006610000000000012,341.35526500000003,0.014307999999999967,0.008449999999999975,0.02395700000000001,0.0007340000000000014,0.002982000000000001,0.06455900000000006,0.19339500000000007,0.06378699999999997,0.011494000000000002,0.00021800000000000037
QA393_2,0.001149000000000002,38.04429799999997,0.016630999999999965,0.013158999999999968,0.045965000000000006,0.0013590000000000024,0.001587000000000003,0.07788700000000007,0.24876600000000007,0.07902999999999999,0.011618000000000003,4.000000000000007e-05
QA264_2,0.0012560000000000023,47.59519799999998,0.013713999999999966,0.012131999999999967,0.048720000000000006,0.0014780000000000025,0.0016940000000000028,0.07605200000000006,0.2502560000000001,0.07918700000000001,0.011618000000000003,4.500000000000008e-05
