group,oligo_gdtts,H1258_rmsd,qs_global,H1258_lddt,oligo_gdtha,dockq_ave,qs_best,H1258_ilddt,H1258_ips,dockq_wave,tm_score,H1258_ics
QA425_2,0.009163000000000017,472.51038700000004,0.5172749999999999,0.002110000000000004,0.016052999999999998,0.11743499999999998,0.642298,0.269114,0.16336700000000007,0.11429999999999998,0.012884000000000022,0.504624
QA331_2,0.15620699999999998,1444.8372259999999,1.6208939999999998,0.04493199999999999,0.129636,0.31989100000000004,1.8047780000000002,0.725413,0.99997,0.310055,0.11511700000000005,1.1872239999999998
QA314_2,0.6679090000000001,3351.587838999999,1.3480299999999998,0.05777799999999998,0.4965749999999999,0.067036,1.7025549999999998,0.27621399999999996,0.4600110000000001,0.073779,0.3970870000000001,0.678225
QA110_2,0.0031900000000000058,30.74281800000001,0.352491,0.0008510000000000016,0.006582999999999991,0.04687700000000001,0.321986,0.148281,0.05475600000000003,0.04660499999999999,0.001623000000000003,0.3385189999999999
QA264_2,0.0031450000000000054,10.268406,0.27817500000000006,0.000574000000000001,0.006369999999999992,0.019604,0.213719,0.056465999999999995,0.02615300000000001,0.01876,0.0014120000000000024,0.15703999999999996
QA164_2,0.42115499999999995,5071.62478,1.017495,0.21027900000000002,0.31937399999999994,0.199722,1.398848,0.48216200000000004,0.5308930000000001,0.19824699999999998,0.2523520000000001,0.5027099999999999
QA345_2,0.009270000000000018,651.0097569999999,0.9943900000000001,0.0033430000000000057,0.014909999999999996,0.23956299999999997,1.2429,0.5090319999999999,0.49392100000000017,0.23297600000000002,0.011754000000000021,0.705043
QA051_2,0.48825100000000005,1348.868234,1.2947650000000002,0.08764299999999997,0.4225709999999999,0.106978,1.125208,0.319167,0.32075500000000007,0.11044599999999997,0.23399900000000007,0.8226699999999999
QAiptm_2,0.007592000000000014,347.09234299999997,0.025127999999999998,0.0009240000000000016,0.013181999999999996,0.020286000000000005,0.0015720000000000026,0.006236,0.01635400000000001,0.017332000000000004,0.007199000000000013,0.03176399999999998
QA393_2,0.0031450000000000054,10.268406,0.27817500000000006,0.000574000000000001,0.006369999999999992,0.019604,0.213719,0.056465999999999995,0.02615300000000001,0.01876,0.0014120000000000024,0.15703999999999996
QAiptm+ptm_2,0.00556700000000001,147.817718,0.026500000000000003,0.0007480000000000014,0.010181999999999995,0.020726000000000005,0.0016350000000000028,0.005939,0.019379000000000018,0.017655,0.004742000000000008,0.02773199999999999
QA080_2,0.7468020000000001,1383.8967759999998,2.142659,1.031052,0.608358,0.44770299999999996,2.6748069999999995,1.138938,0.9544920000000001,0.42864499999999994,0.3331740000000001,1.6332869999999997
QA148_2,0.009987000000000018,6316.807851,0.763102,0.0009540000000000016,0.016458999999999998,0.10267999999999997,1.1064219999999998,0.41335900000000003,0.422214,0.108709,0.02137100000000004,0.29105799999999993
QA029_2,0.700978,3241.572811,1.394044,0.08932299999999999,0.5340419999999999,0.12670299999999998,1.368304,0.37979199999999996,0.4022750000000001,0.128271,0.42401500000000014,0.9306339999999997
QA212_2,0.00545700000000001,6338.199108999998,0.7223830000000001,0.00011900000000000022,0.010512999999999995,0.090801,1.057125,0.32861900000000005,0.42379100000000003,0.09670699999999999,0.021782000000000037,0.23101
QA312_2,0.39611799999999997,2347.849056,0.862119,0.040451999999999995,0.28929299999999997,0.041493,1.0455699999999999,0.17383500000000002,0.33132900000000004,0.04563899999999999,0.24936800000000003,0.44490299999999994
QA446_2,0.0036220000000000063,6207.909637999998,0.7213420000000001,9.800000000000016e-05,0.007486999999999992,0.08993400000000001,1.056186,0.328453,0.423883,0.096396,0.021647000000000038,0.23127799999999998
