group,H1213_rmsd,H1213_ips,H1213_lddt,oligo_gdtts,H1213_ics,oligo_gdtha,qs_best,H1213_ilddt,qs_global,dockq_ave,tm_score,dockq_wave
QA393_2,9.921285000000001,0.02769899999999997,0.0014960000000000025,0.128215,0.009154000000000016,0.14523100000000003,0.005147000000000008,0.026006999999999985,0.01835800000000001,0.03503199999999998,0.009620999999999992,0.02589300000000002
QA029_2,12.708223,0.02290199999999997,0.0009990000000000018,0.145479,0.009890000000000019,0.15919700000000003,0.012563000000000006,0.03304099999999998,0.016936,0.096937,0.011075999999999994,0.06327900000000004
QA080_2,3663.2228050000003,1.5805259999999999,0.8063350000000001,1.3978019999999998,2.450362,0.7761669999999999,3.021458,1.614086,3.2009410000000003,1.8620420000000002,1.2961839999999998,1.5295250000000005
QA148_2,8.36638,0.011852999999999968,0.00010300000000000019,0.10669300000000004,0.007520000000000014,0.117365,0.006070000000000011,0.025324999999999966,0.007112000000000012,0.070113,0.006210000000000011,0.03751500000000006
QAiptm+ptm_2,6.074786000000001,0.021510999999999975,0.001100000000000002,0.062391,0.004564000000000008,0.06386900000000001,0.006978000000000013,0.014870999999999988,0.010526,0.022649999999999997,0.005330999999999997,0.024633999999999996
QA312_2,103.294843,0.04702999999999998,0.002426000000000004,0.5144189999999998,0.05153400000000001,0.4467130000000001,0.053889999999999987,0.090063,0.05898999999999998,0.405409,0.10550300000000004,0.1786020000000001
QA212_2,916.1019940000001,0.4603069999999999,0.07125100000000004,0.5641709999999998,0.664528,0.40344100000000005,0.6092439999999999,0.524022,0.9033360000000001,0.6350469999999999,0.424621,0.4683860000000001
QAmean_plddt_2,18.633467999999993,0.03690199999999997,0.0004970000000000009,0.18980499999999995,0.02170400000000004,0.204881,0.0073940000000000125,0.04414699999999998,0.019179000000000005,0.12595399999999995,0.018761999999999994,0.05972200000000004
QA273_2,48.152606000000006,0.05614999999999996,0.014515000000000002,0.21643400000000002,0.03404800000000004,0.207643,0.028436000000000013,0.07878099999999996,0.039266,0.143107,0.03814299999999999,0.107791
QA446_2,9.157214,0.013672999999999966,0.00011800000000000021,0.12043500000000004,0.009779000000000019,0.13126300000000002,0.0069220000000000115,0.03002499999999997,0.008085000000000014,0.078679,0.006780000000000011,0.044121000000000056
