group,dockq_wave,qs_global,dockq_ave,tm_score,T1206_ics,T1206_ilddt,oligo_gdtts,T1206_rmsd,qs_best,T1206_lddt,T1206_ips,oligo_gdtha
QA446_2,0.0033809999999999804,4.7000000000000085e-05,0.0033809999999999804,0.0001120000000000002,0.0014429999999999946,0.0073230000000000135,0.0012880000000000023,0.33762900000000007,4.7000000000000085e-05,0.005053000000000009,0.006819999999999976,0.008183000000000013
QAmean_plddt_2,0.001072000000000002,0.0001730000000000003,0.001072000000000002,8.000000000000017e-06,0.0036019999999999767,0.008102000000000014,0.00035000000000000065,0.027683999999999993,0.00016000000000000028,0.0019540000000000035,0.007207999999999971,0.0047950000000000085
QAiptm+ptm_2,0.005143999999999973,0.0001750000000000003,0.005143999999999973,0.00016900000000000029,0.0034119999999999923,0.009579000000000018,0.0017330000000000028,0.4598800000000001,7.300000000000013e-05,0.008137000000000014,0.01132499999999997,0.015033000000000026
QA476_2,1.1055799999999998,0.815831,1.1055799999999998,0.008943000000000015,0.9026439999999999,0.3612820000000001,0.03278499999999997,135.56570499999998,0.7264109999999999,0.10567100000000003,0.6963699999999999,0.12711000000000006
QA122_2,0.0051699999999999776,0.00013300000000000022,0.0051699999999999776,0.00014000000000000026,0.005030999999999983,0.012387000000000023,0.0019000000000000032,0.39957500000000007,0.00013300000000000022,0.009633000000000017,0.01152399999999997,0.011785000000000021
QAiptm_2,0.005135999999999974,0.00017500000000000032,0.005135999999999974,0.00016900000000000029,0.0034119999999999923,0.009579000000000018,0.0017330000000000028,0.45982600000000007,7.300000000000013e-05,0.008091000000000015,0.01098899999999997,0.015033000000000026
QA319_2,0.0032939999999999775,6.600000000000011e-05,0.0032939999999999775,0.00012500000000000022,0.0002660000000000005,0.0006780000000000012,0.0015150000000000029,0.37075900000000006,6.600000000000011e-05,0.0027410000000000047,0.004799999999999986,0.0055750000000000105
QA443_2,0.005060999999999979,0.0003180000000000006,0.005060999999999979,0.00014200000000000025,0.004734999999999979,0.014281000000000025,0.0022300000000000037,0.383289,0.00024200000000000043,0.007842000000000014,0.015988999999999965,0.014896000000000026
QA217_2,0.004189999999999975,8.400000000000014e-05,0.004189999999999975,0.00012500000000000022,0.001729000000000003,0.0032620000000000058,0.001733000000000003,0.40539900000000006,8.400000000000014e-05,0.0051420000000000085,0.006049999999999977,0.009816000000000017
QA471_2,0.0019169999999999901,1.4000000000000027e-05,0.0019169999999999901,5.30000000000001e-05,0.002557999999999993,0.008621000000000016,0.0006410000000000013,0.17281700000000003,1.4000000000000027e-05,0.005277000000000009,0.005184999999999979,0.004090000000000007
