group,T1259_ilddt,qs_global,oligo_gdtha,tm_score,qs_best,T1259_ips,oligo_gdtts,T1259_lddt,dockq_ave,dockq_wave,T1259_ics,T1259_rmsd
QA300_2,0.07327100000000003,0.03229500000000003,0.04168800000000002,0.8609660000000001,0.09516999999999995,0.042474,0.018138999999999975,0.03987500000000002,0.21810100000000002,0.21810100000000002,0.07280100000000002,6.642584000000002
QA188_2,0.66372,0.5617180000000002,0.296565,0.15969799999999998,2.315674,0.49529400000000007,0.23823399999999992,0.46422100000000005,1.374335,1.374335,0.7741790000000001,344.431173
QAptm_2,0.06744800000000001,0.014354000000000026,0.029645999999999995,1.4591249999999996,0.030681999999999966,0.06198900000000001,0.00799399999999997,0.027406000000000028,0.10503600000000003,0.10503600000000003,0.09638400000000003,2.4415160000000005
QA110_2,0.008492000000000013,0.002019000000000004,0.0013110000000000023,0.859756,0.005629999999999984,0.013287000000000023,0.00037200000000000064,0.0029229999999999976,0.002112000000000004,0.002112000000000004,0.0026500000000000048,0.08742000000000008
QA314_2,0.022706,0.008415000000000006,0.01335099999999999,0.2905939999999999,0.021002999999999987,0.02355999999999999,0.005094999999999988,0.006888000000000006,0.044641000000000035,0.044641000000000035,0.025705,0.6054130000000003
QA331_2,0.01821000000000001,0.002192000000000004,0.001231000000000002,1.163242,0.003972999999999996,0.01666300000000001,0.0014679999999999947,0.007266000000000001,0.010368999999999996,0.010368999999999996,0.004791000000000009,0.7492909999999999
QA425_2,0.06157900000000001,0.01035100000000002,0.024516999999999987,1.462392,0.024438999999999968,0.05451899999999998,0.007733999999999976,0.025652000000000022,0.07908500000000002,0.07908500000000002,0.06520500000000003,2.7065069999999998
QA114_2,0.13402300000000003,0.03304000000000002,0.069162,1.168242,0.19244299999999995,0.021561,0.029421999999999976,0.07722200000000001,0.43391500000000005,0.43391500000000005,0.07371400000000002,13.135244
QA050_2,0.078005,0.037982000000000044,0.05414400000000001,0.29347300000000004,0.12353599999999998,0.053085999999999994,0.023790999999999975,0.02577000000000004,0.299065,0.299065,0.097226,7.482790000000001
QA476_2,0.135364,0.17282200000000003,0.10339499999999997,0.04531799999999998,0.689098,0.17515399999999998,0.07524899999999997,0.10245800000000005,0.49386700000000006,0.49386700000000006,0.259611,107.747362
QA122_2,0.082806,0.04935200000000004,0.041558999999999985,1.468862,0.15534499999999996,0.068687,0.02448999999999997,0.03114700000000003,0.3507140000000001,0.3507140000000001,0.10891800000000001,11.122486000000002
QA207_2,0.044302,0.008404000000000014,0.015256000000000011,1.168579,0.018009999999999974,0.04593900000000001,0.005361999999999982,0.020594000000000015,0.06156100000000002,0.06156100000000002,0.05833000000000001,1.9003780000000003
QA217_2,0.06545300000000003,0.028552000000000025,0.022630000000000015,1.165533,0.10786699999999996,0.037574999999999976,0.011574999999999976,0.028138000000000035,0.211263,0.211263,0.06396000000000002,6.07101
QA319_2,0.0030340000000000054,0.004551000000000008,0.0036930000000000066,0.5726039999999998,0.00804699999999997,0.026061999999999995,0.002245999999999992,0.004867000000000001,0.01027600000000002,0.01027600000000002,0.017235000000000014,0.47451100000000007
QAiptm_2,0.06744800000000001,0.014354000000000026,0.029645999999999995,1.4591249999999996,0.030681999999999966,0.06198900000000001,0.00799399999999997,0.027406000000000028,0.10503600000000003,0.10503600000000003,0.09638400000000003,2.4415160000000005
QA272_2,0.12103799999999999,0.07805400000000005,0.08388000000000004,0.583575,0.24512199999999998,0.06545100000000001,0.034742999999999975,0.04385500000000003,0.4596540000000001,0.4596540000000001,0.15668500000000002,13.403475000000002
