group,oligo_gdtha,oligo_gdtts,T1257_lddt,dockq_ave,T1257_ics,T1257_rmsd,dockq_wave,T1257_ips,qs_best,T1257_ilddt,tm_score,qs_global
QA164_2,0.022154000000000004,0.03507100000000002,0.006832000000000012,0.002805999999999995,0.04801099999999997,15997.700083000003,0.002805999999999995,0.04413899999999999,0.05775500000000003,0.022826999999999997,0.03618100000000003,0.13589899999999996
QAiptm_2,0.010246000000000002,0.024871000000000018,0.03476100000000003,0.020164999999999992,0.231329,8267.446527,0.020164999999999992,0.05575899999999999,0.2856510000000001,0.11583299999999999,0.024423000000000007,0.3944419999999999
QA050_2,0.08514100000000001,0.12995000000000007,0.040595000000000006,0.02673799999999999,0.252172,15909.359911000003,0.02673799999999999,0.058502999999999986,0.41837200000000013,0.15207800000000005,0.10308200000000002,0.48069299999999987
QA110_2,0.000948999999999999,0.00020100000000000036,0.02410000000000002,0.004211999999999995,0.092479,7355.951316999999,0.004211999999999995,0.055699999999999986,0.10179900000000006,0.05537700000000001,0.0,0.22569499999999992
QA314_2,0.19773400000000002,0.324834,0.097061,0.029001999999999993,0.21788400000000008,12355.796638999998,0.029001999999999993,0.03654199999999999,0.4544670000000002,0.239631,0.229063,0.4043969999999999
QA331_2,0.06494400000000002,0.12295800000000004,0.061045000000000016,0.013605999999999993,0.19231200000000004,9082.438456,0.013605999999999993,0.067562,0.2554030000000001,0.15174200000000002,0.07371699999999999,0.41359599999999985
QA425_2,0.013562000000000005,0.024101000000000018,0.12413100000000002,0.012204999999999992,0.262503,7348.504158999999,0.012204999999999992,0.05800599999999999,0.2928550000000001,0.15174600000000002,0.02843699999999999,0.4514029999999999
QA471_2,0.7126969999999999,1.215065,3.0374330000000005,0.169347,3.302511,37051.650231,0.169259,0.40256800000000004,4.222853000000001,2.90028,1.6006,3.4424019999999995
QA188_2,0.10325600000000001,0.16770900000000005,0.021306999999999996,0.010161999999999994,0.110504,13624.528836,0.010161999999999994,0.05261399999999998,0.1916340000000001,0.07267700000000005,0.10276700000000002,0.2796169999999999
QAptm_2,0.010246000000000002,0.024871000000000018,0.03476100000000003,0.020164999999999992,0.231329,8267.446527,0.020164999999999992,0.05575899999999999,0.2856510000000001,0.11583299999999999,0.024423000000000007,0.3944419999999999
QA319_2,0.007320000000000007,0.009348000000000016,0.041088000000000006,0.009819999999999992,0.16427800000000004,12319.49317,0.009819999999999992,0.05318299999999998,0.19680300000000012,0.10413300000000003,0.008738999999999988,0.3340029999999999
QA272_2,0.156224,0.2827120000000001,0.05067800000000001,0.013353999999999993,0.14455100000000004,14860.204178000002,0.013353999999999993,0.05379999999999998,0.2500050000000001,0.146986,0.11918100000000004,0.33422299999999994
QA217_2,0.21796500000000002,0.358138,0.335986,0.07585799999999998,0.8253150000000001,19306.377371,0.07585799999999998,0.076877,1.27888,0.7729060000000001,0.139327,1.21999
QAiptm+ptm_2,0.010246000000000002,0.024871000000000018,0.03476100000000003,0.020164999999999992,0.231329,8267.446527,0.020164999999999992,0.05575899999999999,0.2856510000000001,0.11583299999999999,0.024423000000000007,0.3944419999999999
QA207_2,0.009850000000000001,0.024749000000000014,0.03508100000000002,0.020164999999999992,0.233163,7986.986870999999,0.020164999999999992,0.05597499999999998,0.2859590000000001,0.116059,0.023275000000000004,0.3990899999999999
QAmean_plddt_2,0.157928,0.28309400000000007,0.050766000000000006,0.013353999999999993,0.14390700000000006,14831.955626,0.013353999999999993,0.05382399999999998,0.24976300000000007,0.14695200000000003,0.12006300000000003,0.33217899999999995
QA476_2,0.04355200000000001,0.07873100000000002,0.012655000000000001,0.0030139999999999954,0.046823000000000004,13641.88002,0.0030139999999999954,0.047637999999999986,0.06013900000000003,0.033967000000000004,0.05564400000000003,0.14667499999999997
