group,dockq_wave,T1234_lddt,qs_global,T1234_rmsd,qs_best,dockq_ave,tm_score,T1234_ics,oligo_gdtha,oligo_gdtts,T1234_ips,T1234_ilddt
QA314_2,0.26988199999999996,0.025497999999999986,0.55808,48.756854,0.55808,0.26988199999999996,0.005450999999999975,0.6219839999999999,0.242743,0.13982699999999995,0.357707,0.07678600000000001
QA110_2,0.37607799999999997,0.00896699999999997,0.5403970000000001,83.81922200000001,0.5403970000000001,0.37607799999999997,0.002207999999999981,0.651042,0.14601399999999992,0.07066599999999999,0.434662,0.066475
QA425_2,0.273979,0.03883399999999997,0.546874,39.232374,0.546874,0.273979,0.008130999999999972,0.6806159999999999,0.38553199999999993,0.22606599999999993,0.32959000000000005,0.09929600000000001
QA331_2,0.28604399999999996,0.0006879999999999966,0.502459,67.624484,0.502459,0.28604399999999996,0.001594999999999984,0.4957719999999999,0.046392999999999976,0.02126199999999999,0.30152200000000007,0.031975
QA471_2,0.283979,0.014703999999999967,0.6244350000000001,43.37579000000001,0.6162989999999999,0.283979,0.008654999999999968,0.6738409999999998,0.21563899999999991,0.13227800000000006,0.557771,0.075325
QA188_2,0.257594,0.03279299999999998,0.3945870000000001,225.00616199999993,0.3931260000000001,0.257594,0.4227219999999999,0.390702,0.86774,0.8938179999999999,0.399739,0.40373899999999996
QAptm_2,0.257611,0.04042299999999997,0.5782149999999999,36.995639999999995,0.5782149999999999,0.257611,0.00864699999999997,0.7040229999999998,0.38010599999999994,0.22617099999999996,0.325897,0.099454
QA319_2,0.26842999999999995,0.03128199999999997,0.56699,38.365571999999986,0.56699,0.26842999999999995,0.005980999999999973,0.669128,0.32590299999999994,0.18279399999999993,0.36732699999999996,0.09795000000000001
QA272_2,0.913878,0.04153099999999997,2.0335880000000004,283.974253,2.029653,0.913878,0.6128909999999997,2.1084489999999994,1.209867,1.570599,1.1044850000000002,1.31481
QA443_2,0.5266379999999999,0.008730999999999973,0.642687,241.40638400000003,0.642687,0.5266379999999999,0.005088999999999975,0.6699479999999999,0.147027,0.0768,0.5561740000000001,0.09445100000000002
QA217_2,0.28007799999999994,0.03305199999999997,0.548761,49.969912,0.548761,0.28007799999999994,0.007565999999999972,0.6056309999999999,0.32069899999999996,0.18757199999999993,0.28290100000000007,0.082384
QA207_2,0.28310699999999994,0.00900599999999999,0.516385,66.41166,0.516385,0.28310699999999994,0.0028339999999999806,0.5040269999999999,0.10074099999999998,0.05658599999999997,0.30360100000000007,0.04722
QAmean_plddt_2,0.9171999999999999,0.041680999999999975,2.0349160000000004,286.77058300000004,2.0309990000000004,0.9171999999999999,0.6151749999999998,2.1102669999999994,1.2103030000000001,1.5707709999999997,1.104709,1.3162539999999998
QA476_2,0.907209,0.037871999999999975,2.006298,285.734561,2.001274,0.907209,0.6364809999999999,2.0788569999999997,1.2012299999999998,1.611034,1.1514540000000002,1.3018629999999998
QA122_2,0.347111,0.006285999999999988,0.556751,95.696684,0.556751,0.347111,0.0026439999999999797,0.6991949999999999,0.11901199999999997,0.06478700000000003,0.36124600000000007,0.068118
