group,qs_best,oligo_gdtts,H1204_ics,H1204_ilddt,qs_global,dockq_ave,dockq_wave,oligo_gdtha,H1204_ips,H1204_rmsd,H1204_lddt,tm_score
QA171_2,0.18126700000000004,0.08298699999999995,0.052694999999999964,0.04732699999999997,0.151864,0.09967599999999997,0.05241299999999999,0.075956,0.07789899999999997,1101.0490079999997,0.0027689999999999824,0.42878399999999994
QA110_2,0.23804500000000006,0.07285899999999994,0.05200899999999998,0.04383799999999998,0.19413200000000003,0.10276199999999996,0.054580999999999984,0.05799,0.098997,869.748163,0.006632999999999973,0.269219
QA314_2,0.13796800000000006,0.07646799999999994,0.028378999999999967,0.052743999999999965,0.11634299999999996,0.10591899999999996,0.05884499999999998,0.063326,0.032554000000000034,1350.563255,0.002061999999999984,0.7955540000000002
QA331_2,0.083209,0.03330399999999996,0.019330999999999966,0.028364999999999953,0.07473099999999999,0.047617999999999966,0.03063699999999997,0.023772999999999996,0.03916800000000002,1042.08805,0.001003999999999997,0.44324699999999984
QAiptm_2,0.1561150000000001,0.09307599999999994,0.03158899999999997,0.05893299999999997,0.13007799999999997,0.12161099999999996,0.06688399999999999,0.07820099999999999,0.029810000000000027,1414.352406,0.0021199999999999813,0.808539
QA425_2,0.15553100000000009,0.09121499999999994,0.024192999999999965,0.06847899999999994,0.12403899999999998,0.12521399999999996,0.06881,0.07697599999999999,0.03139000000000003,1435.0883669999998,0.0024909999999999798,0.8064079999999999
QA050_2,0.065503,0.03548699999999996,0.008738999999999976,0.02487099999999997,0.05810999999999999,0.052510999999999974,0.03349099999999997,0.026300999999999995,0.04656800000000001,966.400987,0.0007579999999999963,0.4039379999999999
QA114_2,0.21830000000000005,0.016500999999999967,0.09671499999999994,0.023233999999999963,0.19120900000000002,0.03532999999999997,0.024714999999999966,0.009978999999999993,0.118616,1087.2160990000002,0.00973599999999997,0.20124099999999992
QA300_2,0.06239100000000002,0.06354399999999993,0.012290999999999976,0.048386999999999965,0.051373,0.08872899999999997,0.04840899999999998,0.061049,0.047021000000000014,917.709989,0.04933899999999997,0.467987
QA188_2,0.08887500000000005,0.02457899999999997,0.010998999999999981,0.03147899999999998,0.07809399999999998,0.048289999999999986,0.03209399999999997,0.020007,0.067162,852.6865369999999,0.004614999999999975,0.19387399999999994
QAptm_2,0.1561150000000001,0.09307599999999994,0.03158899999999997,0.05893299999999997,0.13007799999999997,0.12161099999999996,0.06688399999999999,0.07820099999999999,0.029810000000000027,1414.352406,0.0021199999999999813,0.808539
QA471_2,0.21909900000000002,0.015687999999999966,0.09242499999999994,0.023413999999999966,0.18994500000000003,0.03410699999999997,0.023648999999999965,0.009545999999999994,0.08759699999999998,1110.261018,0.012108999999999967,0.20123499999999991
QA217_2,1.012849,0.17998299999999992,0.8106869999999998,0.43147499999999983,0.893967,0.10344099999999995,0.08626999999999994,0.209123,0.37956400000000007,1039.707355,0.5980539999999999,0.33210100000000004
QA319_2,0.12439000000000006,0.06257899999999995,0.02797299999999997,0.042953999999999964,0.10601599999999997,0.08754599999999997,0.04866399999999998,0.050870000000000005,0.044423000000000025,1204.664008,0.001328999999999989,0.737262
QA272_2,0.16801000000000008,0.09723899999999994,0.03032499999999997,0.05691299999999997,0.14167899999999997,0.11848199999999996,0.06510799999999999,0.08200600000000001,0.055785000000000015,1239.494818,0.0018719999999999852,0.780259
QA443_2,0.15149400000000007,0.10093799999999994,0.019845999999999968,0.06631299999999996,0.12027099999999999,0.12746399999999997,0.068724,0.08724,0.08217899999999997,1063.722754,0.003884999999999976,0.294305
QA476_2,0.036615000000000064,0.01037399999999997,0.001443999999999997,0.01973899999999997,0.03404999999999997,0.030030999999999995,0.023970999999999968,0.005458,0.04388100000000005,968.963117,0.0012299999999999937,0.1914099999999999
QAmean_plddt_2,0.1679120000000001,0.09723899999999994,0.03032499999999997,0.05691299999999997,0.14157499999999998,0.11848199999999996,0.065116,0.08200199999999999,0.05526500000000002,1239.560598,0.0018619999999999856,0.780315
QA122_2,0.09759000000000004,0.05967799999999995,0.023532999999999967,0.05038499999999996,0.08289000000000002,0.08411899999999997,0.04539099999999999,0.051108999999999995,0.03255600000000003,1062.390383,0.0022459999999999867,0.690302
