group,dockq_ave,tm_score,dockq_wave,oligo_gdtha,H1208_lddt,H1208_rmsd,qs_best,oligo_gdtts,qs_global,H1208_ics,H1208_ilddt,H1208_ips
QA051_2,0.05284599999999998,0.0005900000000000011,0.05284599999999998,0.039370999999999975,0.006688000000000012,15.449110000000003,0.024586000000000018,0.01237399999999997,0.038661000000000036,0.048854999999999996,0.030463999999999984,0.039637000000000006
QAiptm_2,0.09145500000000001,0.0003460000000000006,0.09145500000000001,0.05212399999999998,0.009281000000000017,1.7617240000000003,0.04939400000000005,0.018353999999999968,0.07500400000000002,0.080508,0.045014999999999986,0.054713999999999985
QA345_2,0.06125100000000001,0.00018100000000000033,0.06125100000000001,0.029167999999999968,0.006485000000000012,1.4475660000000001,0.028007000000000015,0.010674999999999968,0.05109999999999999,0.04558599999999999,0.03433899999999998,0.031902000000000014
QA164_2,0.06777599999999999,0.00023200000000000038,0.06777599999999999,0.029229999999999968,0.024693000000000045,1.307882,0.035307000000000026,0.011819999999999968,0.068247,0.05716199999999998,0.09842400000000003,0.042061
QA264_2,0.020734999999999986,0.0002180000000000004,0.020734999999999986,0.020891999999999966,0.0026810000000000046,5.477480000000001,0.005888999999999994,0.005137999999999974,0.012066000000000021,0.018398,0.009511000000000006,0.02115500000000002
QA314_2,0.075297,0.0002830000000000005,0.075297,0.04164299999999997,0.008492000000000015,1.544093,0.038075000000000025,0.013137999999999971,0.05756500000000002,0.063106,0.03480999999999999,0.044106000000000006
QA110_2,0.05218199999999997,0.0006110000000000011,0.05218199999999997,0.022477999999999967,0.009311000000000015,13.003893000000001,0.02080800000000001,0.00873199999999997,0.03959800000000002,0.04349899999999998,0.04632399999999998,0.03552800000000003
QA171_2,0.07291099999999999,0.0003530000000000006,0.07291099999999999,0.028925999999999966,0.006307000000000011,5.120799,0.027150000000000014,0.01089899999999997,0.05267699999999998,0.050145999999999975,0.03640899999999997,0.029473000000000055
QA425_2,0.04152099999999999,0.0001480000000000003,0.04152099999999999,0.028521999999999968,0.008614000000000014,1.2084530000000002,0.017055999999999988,0.007990999999999972,0.03674800000000002,0.035012,0.026588999999999984,0.030662000000000016
QA331_2,0.06116999999999999,0.00029200000000000054,0.06116999999999999,0.029472999999999965,0.010108000000000018,2.9367799999999997,0.03255400000000002,0.011997999999999967,0.05981699999999998,0.05021999999999999,0.042054999999999974,0.02847800000000003
QA050_2,0.014123000000000012,0.00010200000000000018,0.014123000000000012,0.017551999999999967,0.003932000000000007,0.892576,0.0022029999999999984,0.0047819999999999755,0.010524000000000018,0.01572000000000003,0.019232999999999986,0.024483000000000026
QA114_2,0.076559,0.0005790000000000011,0.076559,0.04452199999999998,0.017524000000000033,6.735724,0.03643900000000003,0.016693999999999966,0.061472999999999986,0.06521899999999999,0.09559400000000001,0.04458400000000003
QAptm_2,0.050530999999999986,0.00021200000000000038,0.050530999999999986,0.02819499999999997,0.006207000000000011,2.4178300000000004,0.023615000000000018,0.00842999999999997,0.04139500000000002,0.03872699999999998,0.02914999999999998,0.03772100000000002
QA188_2,0.12114200000000004,0.0004780000000000009,0.12114200000000004,0.06847099999999999,0.04321000000000001,1.6227500000000004,0.06946600000000007,0.022554999999999967,0.09887600000000002,0.12889800000000004,0.19039899999999998,0.07142099999999998
QA300_2,0.068294,0.0006990000000000013,0.068294,0.04354399999999997,0.01680700000000003,8.845144000000001,0.034533000000000015,0.015080999999999968,0.056645999999999995,0.06775,0.08912499999999997,0.054211000000000016
QA471_2,0.030078999999999998,0.0001750000000000003,0.030078999999999998,0.03156599999999997,0.017802000000000033,0.7109100000000003,0.013537000000000007,0.00792599999999997,0.03260500000000003,0.046078000000000015,0.07757999999999995,0.04682600000000001
QA217_2,0.05843699999999999,0.0002890000000000005,0.05843699999999999,0.02418399999999997,0.01066500000000002,5.882856,0.020735000000000003,0.008662999999999971,0.035130000000000064,0.04457799999999999,0.075759,0.03117400000000003
QA319_2,0.10066500000000002,0.00026000000000000047,0.10066500000000002,0.04399999999999997,0.020854000000000036,1.5351780000000002,0.06821900000000004,0.015402999999999965,0.09936200000000002,0.09091300000000001,0.09069500000000001,0.04708299999999999
QA443_2,0.024184999999999977,0.00024600000000000045,0.024184999999999977,0.024154999999999968,0.003391000000000006,4.058927000000001,0.009974000000000007,0.006540999999999973,0.019251000000000032,0.03426699999999998,0.022517999999999982,0.030385000000000037
QA272_2,0.043886999999999975,0.00018600000000000032,0.043886999999999975,0.032839999999999966,0.004374000000000008,1.12049,0.020449000000000002,0.010180999999999968,0.03204300000000003,0.04011199999999997,0.031853999999999966,0.037312
QA476_2,0.10930600000000004,0.00039900000000000075,0.10930600000000004,0.054069999999999986,0.027099000000000026,3.571608,0.06524900000000007,0.017351999999999968,0.09363400000000002,0.12045000000000004,0.125355,0.05448999999999998
QA122_2,0.08641700000000001,0.0006880000000000012,0.08641700000000001,0.06515699999999999,0.037979,4.615789000000001,0.05353400000000007,0.024063999999999967,0.08161400000000002,0.08395,0.116874,0.072415
