group,T1292_rmsd,T1292_lddt,qs_best,dockq_ave,T1292_ilddt,qs_global,T1292_ics,tm_score,oligo_gdtha,T1292_ips,oligo_gdtts,dockq_wave
QA331_2,0.003842000000000007,4.400000000000009e-05,4.500000000000008e-05,0.0002760000000000005,0.0004110000000000008,7.300000000000013e-05,0.0012830000000000025,2.0000000000000037e-06,0.001106000000000002,0.0020000000000000035,8.000000000000017e-06,0.0002760000000000005
QA314_2,0.685949,0.00035900000000000065,0.0004260000000000007,0.045580999999999976,0.0037959999999999765,0.0004620000000000008,0.0049060000000000084,5.9000000000000106e-05,0.0009960000000000019,0.00937299999999997,0.00019300000000000033,0.045580999999999976
QA110_2,0.7795060000000001,0.0007880000000000014,0.0005000000000000009,0.051506999999999976,0.007027999999999972,0.0005000000000000009,0.002781000000000005,5.9000000000000106e-05,0.0017800000000000034,0.00799999999999997,0.00019300000000000033,0.051506999999999976
QA114_2,0.4552630000000001,0.0010829999999999954,0.00023800000000000045,0.03503899999999999,0.01821399999999998,0.00023800000000000045,0.0037190000000000066,3.600000000000006e-05,0.0015260000000000028,0.007161999999999977,0.00013300000000000025,0.03503899999999999
QA050_2,0.674694,0.0019579999999999893,0.001195000000000002,0.048259999999999977,0.015831999999999964,0.0015370000000000028,0.007373000000000013,5.9000000000000106e-05,0.0027240000000000046,0.00799999999999997,0.00019300000000000033,0.048259999999999977
QA300_2,0.5714410000000001,0.0006780000000000012,0.000567000000000001,0.04110199999999998,0.007414999999999973,0.0007800000000000014,0.0041930000000000075,4.400000000000008e-05,0.001660000000000003,0.008984999999999977,0.00015500000000000027,0.04110199999999998
QA188_2,0.39371400000000006,0.0010119999999999966,0.0006250000000000011,0.023311999999999986,0.013595999999999978,0.0012270000000000022,0.003803000000000007,3.5000000000000065e-05,0.001109000000000002,0.01025099999999997,0.0001100000000000002,0.023311999999999986
QAptm_2,0.790514,0.0002770000000000005,0.00021900000000000036,0.06594199999999999,0.003405999999999977,0.00026000000000000047,0.005186000000000009,5.9000000000000106e-05,0.0006740000000000012,0.008800999999999969,0.00019300000000000033,0.06594199999999999
QAiptm+ptm_2,0.7904860000000001,0.0002770000000000005,0.00021900000000000036,0.06593399999999999,0.003405999999999977,0.00026000000000000047,0.005186000000000009,5.9000000000000106e-05,0.0006780000000000012,0.00880099999999997,0.00019300000000000033,0.06593399999999999
QA217_2,0.6634120000000001,0.0004110000000000008,0.00023500000000000043,0.052974999999999994,0.003237999999999981,0.00024200000000000043,0.0033590000000000056,5.000000000000009e-05,0.0014920000000000029,0.008401999999999975,0.00015800000000000026,0.052974999999999994
QA443_2,0.8100140000000001,0.0003540000000000006,0.00026000000000000047,0.06416799999999999,0.003654999999999977,0.0002750000000000005,0.0036990000000000065,5.9000000000000106e-05,0.0010230000000000018,0.00799999999999997,0.00019300000000000033,0.06416799999999999
QA319_2,0.7786310000000002,0.00040200000000000077,0.0002340000000000004,0.064562,0.0034879999999999764,0.0002770000000000005,0.004116000000000008,5.9000000000000106e-05,0.0008760000000000016,0.00799999999999997,0.00019300000000000033,0.064562
QA122_2,0.0035950000000000066,4.200000000000008e-05,3.5000000000000065e-05,0.0004430000000000008,0.000381999999999998,5.9000000000000106e-05,0.0018850000000000039,2.0000000000000037e-06,0.0010130000000000017,0.005969999999999991,1.3000000000000025e-05,0.0004430000000000008
QA476_2,0.634314,0.002008999999999991,0.001126000000000002,0.03940799999999998,0.03392699999999996,0.0026010000000000044,0.00563500000000001,5.9000000000000106e-05,0.0011680000000000022,0.011472999999999976,0.00019300000000000033,0.03940799999999998
QAiptm_2,0.7912750000000002,0.00030900000000000057,0.00020600000000000035,0.06571099999999999,0.0035979999999999762,0.0002470000000000004,0.005051000000000009,5.9000000000000106e-05,0.0007030000000000013,0.009601999999999968,0.00019300000000000033,0.06571099999999999
QA207_2,0.262737,0.0003600000000000007,0.00017400000000000033,0.01718699999999999,0.003627999999999988,0.00028300000000000054,0.003254000000000006,2.0000000000000036e-05,0.001075000000000002,0.006163999999999989,7.800000000000013e-05,0.01718699999999999
