group,dockq_ave,H1232_rmsd,oligo_gdtha,H1232_lddt,oligo_gdtts,dockq_wave,H1232_ilddt,qs_global,tm_score,H1232_ics,qs_best,H1232_ips
QA164_2,0.13188800000000003,1405.5909019999997,0.001097000000000002,0.0025420000000000043,0.011700999999999994,0.047658000000000034,0.08967100000000006,0.6417290000000002,0.2330569999999999,0.12210100000000004,0.6417290000000002,0.2205579999999999
QA345_2,0.12579100000000001,1886.7651540000002,0.00027100000000000046,0.0006750000000000011,0.009575999999999993,0.03823700000000002,0.05389500000000003,0.495558,0.24227199999999993,0.07327900000000007,0.495558,0.16083000000000008
QAmean_plddt_2,0.13221500000000003,1419.6031139999998,0.0007590000000000013,0.002318000000000004,0.011694999999999994,0.047646000000000036,0.08765300000000008,0.6316430000000002,0.23265599999999992,0.10982300000000009,0.6316430000000002,0.22553499999999993
QA264_2,0.13221100000000002,1445.1858130000003,0.012521000000000003,0.011338999999999981,0.015982999999999997,0.050283000000000036,0.12534600000000007,0.6960890000000002,0.23143099999999994,0.1685780000000001,0.6960890000000002,0.24918699999999994
QA331_2,0.12995400000000001,1794.955457,0.0003790000000000007,0.0016130000000000029,0.010197999999999994,0.04424600000000003,0.06280600000000006,0.519891,0.24082499999999996,0.08490900000000007,0.519891,0.166503
QA425_2,0.12421,1862.059148,0.0002860000000000005,0.0004740000000000009,0.009787999999999993,0.03484900000000001,0.052691000000000036,0.493132,0.23698999999999992,0.06966200000000006,0.493132,0.1532590000000001
QAiptm+ptm_2,0.124519,1842.3311419999998,0.00015600000000000027,0.0007840000000000014,0.009957999999999993,0.036310000000000016,0.05453000000000004,0.510275,0.23393099999999994,0.08433900000000008,0.510275,0.15428200000000009
QA110_2,0.124519,1825.697199,0.00010400000000000018,0.0004780000000000009,0.009581999999999993,0.035463000000000015,0.05150700000000003,0.500159,0.2283759999999999,0.07773700000000007,0.500159,0.15005300000000008
QA314_2,0.124519,1830.156378,0.00013100000000000023,0.00038100000000000064,0.009557999999999999,0.035288000000000014,0.05066700000000003,0.507034,0.2249139999999999,0.07889200000000007,0.507034,0.1635900000000001
QAiptm_2,0.124519,1842.3311419999998,0.00015600000000000027,0.0007840000000000014,0.009957999999999993,0.036310000000000016,0.05453000000000004,0.510275,0.23393099999999994,0.08433900000000008,0.510275,0.15428200000000009
QA114_2,0.12548,1835.2457949999998,0.0001640000000000003,0.000534000000000001,0.009562,0.03741400000000002,0.051079000000000034,0.49113300000000004,0.2280689999999999,0.07377500000000006,0.49113300000000004,0.15466300000000008
QA050_2,0.107386,2427.615251,0.0024309999999999996,0.001121000000000002,0.010490999999999999,0.03704800000000004,0.07964700000000005,0.28390900000000013,0.32918800000000004,0.014212000000000013,0.28390900000000013,0.171878
QAptm_2,0.124519,1842.32576,0.00015800000000000026,0.0007840000000000014,0.009957999999999993,0.036310000000000016,0.05450600000000004,0.510283,0.23397899999999994,0.08434700000000007,0.510283,0.1544500000000001
QA300_2,0.121405,3269.9947749999997,0.00014100000000000026,0.0008360000000000016,0.009864999999999997,0.03597800000000002,0.058182000000000046,0.28339500000000006,0.341861,0.018307000000000018,0.28339500000000006,0.17607799999999996
QA188_2,0.138098,1808.349115,0.048437999999999995,0.06684899999999999,0.03907700000000001,0.1409950000000001,0.33699800000000013,0.6501580000000001,0.3080090000000001,0.2771320000000001,0.6201710000000001,0.161574
QA471_2,0.09176599999999999,1109.975879,0.07006699999999999,0.312575,0.04945600000000001,0.07728700000000008,0.47418400000000005,1.176266,0.27404799999999996,0.6551740000000001,1.008652,0.5769880000000001
QA217_2,0.12807800000000003,1680.925258,0.001989999999999999,0.0008860000000000016,0.010854999999999998,0.04200200000000003,0.05876600000000004,0.5522370000000001,0.2323729999999999,0.08745000000000004,0.5522370000000001,0.176935
QA443_2,0.127378,1860.6362530000001,0.00016800000000000026,0.0008650000000000015,0.009753999999999997,0.04091000000000002,0.05355500000000003,0.48619899999999994,0.23482299999999995,0.06784600000000006,0.48619899999999994,0.14624600000000007
QA272_2,0.13220500000000002,1425.512467,0.0009220000000000017,0.002255000000000004,0.011789999999999995,0.048221000000000035,0.0877420000000001,0.6337860000000002,0.23265599999999992,0.11377600000000007,0.6337860000000002,0.22568199999999994
QA319_2,0.124519,1840.80125,0.00014500000000000027,0.0006540000000000012,0.009678999999999993,0.03597200000000002,0.05319100000000004,0.50451,0.23178999999999994,0.08322300000000007,0.50451,0.1585660000000001
QA122_2,0.12612,1749.308407,0.00023200000000000044,0.001190000000000002,0.010117999999999993,0.03829900000000003,0.054246000000000044,0.529207,0.2300719999999999,0.0839090000000001,0.529207,0.17071500000000003
QA476_2,0.120159,1976.701719,0.037966,0.09523900000000002,0.031043000000000008,0.08889500000000007,0.3360090000000001,0.6898029999999999,0.340318,0.2612640000000001,0.6546550000000002,0.18327899999999997
QA207_2,0.124519,1847.7898599999999,0.00015000000000000026,0.0008710000000000015,0.009957999999999993,0.036310000000000016,0.05429700000000004,0.509676,0.2352499999999999,0.08385500000000007,0.509676,0.15685100000000007
