group,qs_global,H1222_rmsd,oligo_gdtts,H1222_lddt,tm_score,oligo_gdtha,dockq_ave,qs_best,H1222_ilddt,H1222_ips,H1222_ics,dockq_wave
QA051_2,0.3204070000000001,47.123069,0.006749000000000012,0.005649999999999973,0.004632000000000002,0.014678000000000009,0.6443620000000001,0.4485280000000001,0.08758600000000001,0.15217000000000008,0.24419100000000002,0.30023700000000003
QA393_2,0.347904,30.54298,0.11434200000000003,0.019579999999999965,0.019850999999999987,0.146024,0.590418,0.47080500000000003,0.15526699999999993,0.06699600000000003,0.2567510000000001,0.35541799999999996
QA471_2,0.3097350000000001,35.533981,0.04859300000000002,0.023410999999999967,0.007433999999999971,0.07183,0.642926,0.43213500000000016,0.155683,0.13381100000000007,0.23991500000000004,0.33254500000000004
QAptm_2,0.3065040000000001,28.282384999999998,0.006217000000000011,0.01084699999999997,0.0035299999999999906,0.012976000000000005,0.467407,0.41633599999999993,0.09448800000000002,0.059698000000000015,0.221723,0.217306
QAiptm_2,0.30619200000000013,28.285530999999995,0.006309000000000011,0.010828999999999969,0.0035479999999999904,0.013086000000000006,0.46745500000000006,0.416108,0.09438600000000003,0.059754000000000015,0.221083,0.21743400000000002
QA188_2,0.13988499999999998,18.135702,0.14318300000000003,0.0026779999999999903,0.035152,0.174797,0.34106900000000007,0.17767700000000008,0.034377000000000005,0.02270400000000004,0.11497399999999999,0.23199500000000003
QA300_2,0.28095600000000015,17.66643,0.04078200000000004,0.006037999999999972,0.006084,0.06521500000000001,0.5325160000000001,0.3889960000000001,0.09024200000000002,0.13876100000000008,0.2129310000000001,0.25754599999999994
QA050_2,0.24776600000000007,24.010488000000002,0.15287800000000001,0.003988999999999975,0.03254699999999999,0.19707000000000002,0.5016510000000001,0.325687,0.05741799999999998,0.09022200000000005,0.18098400000000003,0.32279
QA114_2,0.254971,20.121187000000003,0.005060000000000009,0.007510999999999975,0.0025520000000000044,0.011668000000000005,0.45876100000000003,0.32713500000000006,0.09426700000000005,0.10523100000000006,0.19452600000000003,0.207558
QAiptm+ptm_2,0.30619200000000013,28.285530999999995,0.006309000000000011,0.010828999999999969,0.0035479999999999904,0.013086000000000006,0.46745500000000006,0.416108,0.09438600000000003,0.059754000000000015,0.221083,0.21743400000000002
QA425_2,0.5150350000000001,45.106246000000006,0.00550200000000001,0.013512999999999968,0.00527799999999998,0.010315000000000019,0.675304,0.67161,0.13770900000000008,0.07788099999999999,0.36859400000000003,0.306878
QA331_2,0.29535100000000014,40.261323,0.007901000000000016,0.005019999999999974,0.004351000000000008,0.017991,0.63059,0.41659700000000005,0.07796600000000001,0.15232600000000007,0.23931100000000005,0.298106
QA314_2,0.2926730000000002,34.429497999999995,0.0025250000000000042,0.005500999999999973,0.003659000000000006,0.005151000000000009,0.5982640000000001,0.41535500000000014,0.082895,0.1547610000000001,0.24221399999999998,0.275423
QA110_2,0.4970390000000001,44.948626000000004,0.007947000000000013,0.011454999999999969,0.00562299999999998,0.012039000000000005,0.6729150000000002,0.641246,0.13274000000000005,0.093201,0.35293,0.30771400000000004
QA171_2,0.35995900000000003,36.612941000000006,0.04368200000000001,0.00789599999999997,0.006247999999999978,0.068798,0.656598,0.48031900000000005,0.10537000000000002,0.10264000000000002,0.26274600000000004,0.322234
QA207_2,0.26673600000000014,27.817269999999997,0.007104000000000011,0.00868999999999997,0.0035479999999999904,0.015011000000000009,0.46188700000000005,0.368304,0.08118600000000001,0.07330600000000002,0.19894599999999998,0.21839
QA122_2,0.20729400000000006,20.538438999999997,0.006792000000000012,0.006946999999999973,0.002711000000000005,0.015046999999999993,0.43524100000000004,0.2869980000000001,0.072211,0.10036300000000008,0.17197900000000005,0.200094
QA476_2,0.18431999999999996,25.347646000000005,0.19398600000000002,0.0023959999999999875,0.04715099999999999,0.238234,0.4289010000000001,0.23620600000000008,0.04027100000000001,0.023868000000000045,0.14437399999999997,0.300051
QA443_2,0.3310250000000001,48.965847999999994,0.0027270000000000046,0.0057719999999999725,0.004428999999999992,0.004299000000000008,0.6358110000000001,0.45753600000000016,0.09038500000000001,0.15184900000000007,0.26105500000000004,0.286698
QA272_2,0.30352500000000004,39.73594,0.0059420000000000115,0.005370999999999974,0.004097000000000007,0.01137900000000002,0.6223509999999999,0.4170980000000001,0.083814,0.1600020000000001,0.244118,0.289054
QA319_2,0.5355180000000002,43.47259299999999,0.007042000000000013,0.019253999999999966,0.00513199999999998,0.012836000000000023,0.680866,0.6890479999999999,0.17718100000000003,0.07384399999999999,0.38099800000000006,0.317189
QA217_2,0.297604,24.039696,0.0055750000000000105,0.01881999999999997,0.0031429999999999896,0.014278000000000025,0.465182,0.40532300000000004,0.13708199999999998,0.05864200000000004,0.23023100000000002,0.21594
