group,T1201_rmsd,T1201_lddt,dockq_wave,T1201_ics,dockq_ave,oligo_gdtha,tm_score,qs_global,qs_best,T1201_ips,oligo_gdtts,T1201_ilddt
QAmean_plddt_2,0.6258990000000002,0.005541999999999973,0.011769999999999989,0.11689099999999987,0.011769999999999989,0.04219800000000002,0.0013900000000000026,0.2669389999999999,0.0012760000000000024,0.295014,0.02169300000000004,0.007639000000000014
QA476_2,0.4381489999999999,0.027878999999999973,0.008036999999999989,0.11672299999999987,0.008036999999999989,0.03368500000000002,0.0009040000000000016,0.29524399999999995,0.0009140000000000016,0.29419899999999993,0.014826000000000027,0.037204000000000036
QA122_2,0.8959900000000001,0.040423999999999974,0.016842999999999983,0.09777399999999992,0.016842999999999983,0.05655400000000002,0.0019210000000000032,0.29201699999999997,0.009923000000000017,0.23433199999999993,0.029197000000000053,0.050618000000000066
QA319_2,1.0116720000000003,0.005718999999999972,0.016352999999999986,0.10169099999999985,0.016352999999999986,0.08664000000000001,0.002820000000000005,0.261802,0.0017330000000000032,0.295784,0.046681000000000084,0.01113300000000002
QA272_2,0.7110750000000002,0.0052699999999999735,0.011769999999999989,0.11425399999999987,0.011769999999999989,0.050239000000000006,0.0016900000000000031,0.27103399999999994,0.0013090000000000024,0.299714,0.02697300000000005,0.007975000000000015
QA443_2,0.6691570000000001,0.027406999999999966,0.011738999999999989,0.007690999999999971,0.011738999999999989,0.04101400000000003,0.0012700000000000025,0.00023000000000000039,0.0007340000000000014,0.004586999999999975,0.01939500000000003,0.03071200000000006
QAiptm+ptm_2,1.6625740000000002,0.030686999999999968,0.030471999999999996,0.1365449999999999,0.030471999999999996,0.061721,0.0025120000000000047,0.374425,0.028096,0.26919399999999993,0.032436000000000055,0.03799800000000004
QA080_2,1326.0532309999999,1.0423019999999998,2.448425,2.5173279999999996,2.448425,0.768521,1.0085319999999998,3.368099,3.4804310000000007,1.4622029999999997,1.0713450000000004,1.982174
QA148_2,1.221742,0.0024669999999999957,0.01023599999999999,0.006051999999999973,0.01023599999999999,0.014983000000000024,0.0010710000000000019,0.04384200000000003,0.003357000000000006,0.06034599999999998,0.007266000000000013,0.0036090000000000063
QA312_2,180.90197099999995,0.03818099999999997,0.35723,0.1687879999999999,0.35723,0.24071500000000007,0.23378399999999996,0.30095400000000005,0.15626800000000005,0.25140099999999993,0.27124000000000004,0.15972000000000008
QA212_2,1792.7294780000002,0.2898199999999999,2.270155,1.2468279999999996,2.270155,0.542957,0.5958319999999999,2.604939,2.4074710000000006,1.4533499999999997,0.658413,1.4262790000000003
QA273_2,1.2383330000000001,0.041853999999999975,0.022649999999999993,0.25073099999999987,0.022649999999999993,0.07732699999999999,0.002910000000000005,0.5542110000000001,0.009559000000000015,0.3784409999999999,0.04157000000000007,0.062360000000000054
QA337_2,1.154159,0.0023579999999999977,0.010073999999999984,0.004692999999999975,0.010073999999999984,0.01655000000000003,0.0008770000000000016,0.005708000000000009,0.002657000000000005,0.01497699999999997,0.007746000000000014,0.0031410000000000053
QA294_2,0.6299420000000001,0.043864999999999967,0.010690999999999985,0.11440899999999993,0.010690999999999985,0.06059399999999999,0.0016620000000000033,0.30941,0.0006220000000000011,0.2513679999999999,0.03104500000000005,0.05706400000000005
QA446_2,1.9847570000000005,0.0035489999999999858,0.030343000000000002,0.02092199999999996,0.030343000000000002,0.03734800000000007,0.0022930000000000042,0.01185700000000002,0.008005000000000014,0.019164999999999967,0.020764000000000036,0.0075450000000000135
QA264_2,327.007595,0.05012399999999998,0.659002,0.22312299999999985,0.659002,0.34251400000000004,0.4495549999999999,0.382319,0.277359,0.32580999999999993,0.4496050000000001,0.23559000000000008
QA164_2,1.0214220000000003,0.045094999999999975,0.016434999999999988,0.09211699999999988,0.016434999999999988,0.08062899999999999,0.002802000000000005,0.24703899999999995,0.0008980000000000016,0.25097499999999995,0.04356300000000005,0.07438300000000002
QA393_2,953.316235,0.15617699999999995,1.3102579999999997,1.3646249999999998,1.3102579999999997,0.573694,0.8344979999999999,1.6486380000000003,1.706771,1.2369939999999997,0.798148,1.270882
