model_name,dockq_ave
afm_basic_model_1_multimer_v3_pred_43.pdb,0.476
afm_basic_model_4_multimer_v3_pred_41.pdb,0.476
afm_dropout_full_woTemplates_model_1_multimer_v3_pred_32.pdb,0.476
afm_woTemplates_model_2_multimer_v3_pred_29.pdb,0.476
afm_basic_model_2_multimer_v3_pred_39.pdb,0.476
afm_dropout_noSM_woTemplates_model_2_multimer_v3_pred_51.pdb,0.476
afm_basic_model_3_multimer_v3_pred_65.pdb,0.476
afm_dropout_full_woTemplates_r3_model_5_multimer_v3_pred_64.pdb,0.476
afm_dropout_full_model_5_multimer_v3_pred_36.pdb,0.475
cf_woTemplates_model_5_multimer_v3_pred_6.pdb,0.475
afm_dropout_noSM_woTemplates_model_5_multimer_v3_pred_32.pdb,0.475
afm_dropout_noSM_woTemplates_model_2_multimer_v3_pred_58.pdb,0.475
afm_dropout_full_model_1_multimer_v3_pred_8.pdb,0.475
cf_dropout_full_woTemplates_model_2_multimer_v3_pred_66.pdb,0.475
afm_dropout_noSM_woTemplates_model_5_multimer_v3_pred_3.pdb,0.475
cf_dropout_full_woTemplates_model_1_multimer_v3_pred_32.pdb,0.475
cf_woTemplates_model_4_multimer_v2_pred_31.pdb,0.475
afm_dropout_full_woTemplates_r3_model_1_multimer_v2_pred_38.pdb,0.475
afm_basic_model_2_multimer_v3_pred_3.pdb,0.475
cf_woTemplates_model_3_multimer_v2_pred_9.pdb,0.475
afm_dropout_full_woTemplates_model_4_multimer_v3_pred_43.pdb,0.475
cf_dropout_full_woTemplates_model_4_multimer_v3_pred_48.pdb,0.475
cf_woTemplates_model_3_multimer_v2_pred_65.pdb,0.475
cf_dropout_full_woTemplates_model_1_multimer_v3_pred_39.pdb,0.475
cf_woTemplates_model_3_multimer_v2_pred_0.pdb,0.475
cf_woTemplates_model_2_multimer_v3_pred_66.pdb,0.475
afm_basic_model_2_multimer_v3_pred_47.pdb,0.475
afm_basic_model_1_multimer_v3_pred_63.pdb,0.475
afm_dropout_full_model_5_multimer_v3_pred_64.pdb,0.475
afm_woTemplates_model_4_multimer_v3_pred_40.pdb,0.475
afm_dropout_noSM_woTemplates_model_2_multimer_v3_pred_1.pdb,0.475
afm_basic_model_5_multimer_v3_pred_20.pdb,0.475
afm_dropout_full_model_5_multimer_v3_pred_45.pdb,0.475
afm_dropout_full_model_1_multimer_v3_pred_61.pdb,0.475
afm_basic_model_2_multimer_v3_pred_24.pdb,0.475
