model_name,oligo_gdtts
afm_dropout_full_woTemplates_r3_model_2_ptm_pred_41.pdb,0.485
afm_woTemplates_model_2_ptm_pred_27.pdb,0.485
afm_dropout_full_woTemplates_r3_model_2_ptm_pred_64.pdb,0.485
afm_dropout_noSM_woTemplates_model_2_ptm_pred_29.pdb,0.485
afm_woTemplates_model_4_ptm_pred_37.pdb,0.485
afm_dropout_noSM_woTemplates_model_2_ptm_pred_15.pdb,0.485
cf_woTemplates_model_5_ptm_pred_43.pdb,0.485
afm_woTemplates_model_2_ptm_pred_47.pdb,0.485
afm_dropout_full_woTemplates_model_2_ptm_pred_22.pdb,0.485
afm_dropout_full_woTemplates_r3_model_2_ptm_pred_54.pdb,0.485
afm_woTemplates_model_2_ptm_pred_15.pdb,0.485
cf_woTemplates_model_2_ptm_pred_65.pdb,0.485
afm_dropout_full_woTemplates_model_2_ptm_pred_45.pdb,0.485
cf_woTemplates_model_3_ptm_pred_50.pdb,0.485
cf_dropout_full_woTemplates_model_3_ptm_pred_53.pdb,0.485
cf_dropout_full_woTemplates_model_2_ptm_pred_41.pdb,0.485
afm_basic_model_4_ptm_pred_49.pdb,0.485
afm_dropout_full_woTemplates_r3_model_2_ptm_pred_24.pdb,0.485
afm_woTemplates_model_2_ptm_pred_14.pdb,0.485
afm_basic_model_4_ptm_pred_28.pdb,0.485
afm_woTemplates_model_2_ptm_pred_8.pdb,0.485
afm_dropout_full_woTemplates_r3_model_2_ptm_pred_48.pdb,0.485
afm_woTemplates_model_2_ptm_pred_56.pdb,0.485
cf_dropout_full_woTemplates_model_2_ptm_pred_44.pdb,0.485
afm_woTemplates_model_2_ptm_pred_45.pdb,0.485
afm_dropout_noSM_woTemplates_model_2_ptm_pred_27.pdb,0.485
afm_dropout_noSM_woTemplates_model_2_ptm_pred_17.pdb,0.485
afm_dropout_full_woTemplates_r3_model_2_ptm_pred_22.pdb,0.485
afm_dropout_full_woTemplates_r3_model_2_ptm_pred_11.pdb,0.485
afm_woTemplates_model_2_ptm_pred_33.pdb,0.485
afm_dropout_full_woTemplates_r3_model_2_ptm_pred_13.pdb,0.485
