model_name,ics
afm_basic_model_2_multimer_v3_pred_56.pdb,0.913
afm_dropout_full_model_5_multimer_v2_pred_13.pdb,0.913
afm_basic_model_4_multimer_v3_pred_39.pdb,0.913
cf_woTemplates_model_2_multimer_v3_pred_1.pdb,0.913
afm_woTemplates_model_4_multimer_v3_pred_22.pdb,0.913
cf_dropout_full_woTemplates_model_4_multimer_v1_pred_15.pdb,0.913
afm_dropout_full_model_1_multimer_v3_pred_60.pdb,0.913
afm_woTemplates_model_4_multimer_v3_pred_23.pdb,0.913
afm_basic_model_4_multimer_v3_pred_8.pdb,0.913
afm_woTemplates_model_4_multimer_v3_pred_48.pdb,0.913
afm_dropout_full_woTemplates_model_1_multimer_v3_pred_22.pdb,0.913
cf_woTemplates_model_2_multimer_v3_pred_43.pdb,0.913
afm_basic_model_1_multimer_v3_pred_40.pdb,0.913
afm_dropout_full_model_1_multimer_v1_pred_66.pdb,0.913
afm_basic_model_4_multimer_v3_pred_64.pdb,0.913
afm_dropout_full_woTemplates_r3_model_2_multimer_v3_pred_50.pdb,0.913
afm_basic_model_4_multimer_v3_pred_53.pdb,0.913
cf_dropout_full_woTemplates_model_1_multimer_v3_pred_22.pdb,0.913
cf_woTemplates_model_1_multimer_v3_pred_5.pdb,0.913
cf_woTemplates_model_2_multimer_v3_pred_45.pdb,0.913
cf_woTemplates_model_3_multimer_v1_pred_45.pdb,0.913
cf_woTemplates_model_2_multimer_v3_pred_19.pdb,0.913
afm_woTemplates_model_4_multimer_v3_pred_28.pdb,0.913
cf_woTemplates_model_2_multimer_v3_pred_49.pdb,0.913
afm_basic_model_1_multimer_v3_pred_27.pdb,0.913
afm_basic_model_4_multimer_v3_pred_60.pdb,0.913
cf_woTemplates_model_2_multimer_v3_pred_22.pdb,0.913
cf_woTemplates_model_2_multimer_v3_pred_50.pdb,0.913
afm_dropout_full_woTemplates_model_4_multimer_v1_pred_56.pdb,0.913
afm_basic_model_4_multimer_v3_pred_13.pdb,0.913
afm_basic_model_4_multimer_v3_pred_11.pdb,0.913
cf_woTemplates_model_5_multimer_v2_pred_63.pdb,0.913
cf_dropout_full_woTemplates_model_5_multimer_v1_pred_4.pdb,0.913
afm_dropout_full_woTemplates_r3_model_3_multimer_v2_pred_42.pdb,0.913
cf_dropout_full_woTemplates_model_2_multimer_v3_pred_45.pdb,0.913
cf_dropout_full_woTemplates_model_2_multimer_v1_pred_10.pdb,0.913
cf_woTemplates_model_2_multimer_v3_pred_58.pdb,0.913
afm_basic_model_4_multimer_v3_pred_56.pdb,0.913
cf_dropout_full_woTemplates_model_4_multimer_v1_pred_63.pdb,0.913
afm_dropout_full_woTemplates_model_1_multimer_v3_pred_32.pdb,0.913
cf_woTemplates_model_2_multimer_v3_pred_23.pdb,0.913
cf_woTemplates_model_2_multimer_v3_pred_13.pdb,0.913
afm_dropout_noSM_woTemplates_model_1_multimer_v3_pred_6.pdb,0.913
afm_woTemplates_model_4_multimer_v3_pred_9.pdb,0.913
afm_basic_model_4_multimer_v3_pred_58.pdb,0.913
cf_woTemplates_model_1_multimer_v3_pred_62.pdb,0.913
