model_name,ips
afm_dropout_full_woTemplates_model_5_multimer_v2_pred_16.pdb,0.597
cf_woTemplates_model_4_multimer_v2_pred_32.pdb,0.597
afm_dropout_noSM_woTemplates_model_5_multimer_v2_pred_53.pdb,0.597
afm_dropout_noSM_woTemplates_model_4_multimer_v2_pred_59.pdb,0.597
afm_dropout_full_woTemplates_model_4_multimer_v2_pred_33.pdb,0.597
afm_dropout_noSM_woTemplates_model_4_multimer_v2_pred_17.pdb,0.597
cf_woTemplates_model_3_multimer_v2_pred_23.pdb,0.597
afm_woTemplates_model_1_multimer_v2_pred_39.pdb,0.597
afm_woTemplates_model_3_multimer_v2_pred_45.pdb,0.597
afm_dropout_full_woTemplates_r3_model_5_multimer_v3_pred_38.pdb,0.597
afm_dropout_full_woTemplates_model_4_multimer_v2_pred_56.pdb,0.597
cf_dropout_full_woTemplates_model_4_multimer_v2_pred_56.pdb,0.597
cf_woTemplates_model_3_multimer_v2_pred_37.pdb,0.597
afm_woTemplates_model_1_multimer_v2_pred_58.pdb,0.596
afm_dropout_full_woTemplates_r3_model_4_multimer_v2_pred_30.pdb,0.596
afm_dropout_full_woTemplates_r3_model_3_multimer_v2_pred_63.pdb,0.596
afm_woTemplates_model_5_multimer_v2_pred_61.pdb,0.596
afm_dropout_noSM_woTemplates_model_2_multimer_v2_pred_2.pdb,0.596
afm_basic_model_4_multimer_v2_pred_16.pdb,0.596
afm_dropout_noSM_woTemplates_model_5_multimer_v2_pred_61.pdb,0.596
afm_dropout_full_woTemplates_r3_model_3_multimer_v2_pred_32.pdb,0.596
afm_woTemplates_model_2_multimer_v2_pred_31.pdb,0.596
afm_woTemplates_model_4_multimer_v2_pred_18.pdb,0.596
afm_dropout_noSM_woTemplates_model_1_multimer_v2_pred_8.pdb,0.596
afm_basic_model_4_multimer_v1_pred_31.pdb,0.596
afm_dropout_noSM_woTemplates_model_4_multimer_v2_pred_7.pdb,0.596
cf_woTemplates_model_3_multimer_v2_pred_64.pdb,0.596
