model_name,oligo_gdtts
afm_dropout_full_woTemplates_model_3_ptm_pred_141.pdb,0.869
afm_basic_model_3_ptm_pred_103.pdb,0.869
afm_basic_model_3_ptm_pred_14.pdb,0.869
afm_woTemplates_model_3_ptm_pred_97.pdb,0.869
afm_dropout_full_model_3_ptm_pred_110.pdb,0.869
afm_basic_model_3_ptm_pred_26.pdb,0.869
afm_dropout_noSM_woTemplates_model_3_ptm_pred_148.pdb,0.869
afm_woTemplates_model_3_ptm_pred_52.pdb,0.869
afm_dropout_noSM_woTemplates_model_3_ptm_pred_66.pdb,0.869
afm_basic_model_3_ptm_pred_156.pdb,0.869
afm_woTemplates_model_3_ptm_pred_76.pdb,0.869
afm_dropout_noSM_woTemplates_model_3_ptm_pred_140.pdb,0.869
afm_dropout_noSM_woTemplates_model_3_ptm_pred_80.pdb,0.869
afm_woTemplates_model_3_ptm_pred_155.pdb,0.869
afm_dropout_full_woTemplates_model_3_ptm_pred_21.pdb,0.869
afm_dropout_full_model_3_ptm_pred_137.pdb,0.867
afm_dropout_noSM_woTemplates_model_3_ptm_pred_69.pdb,0.867
afm_basic_model_3_ptm_pred_95.pdb,0.867
afm_woTemplates_model_3_ptm_pred_91.pdb,0.867
afm_dropout_full_model_3_ptm_pred_58.pdb,0.867
afm_dropout_full_model_3_ptm_pred_70.pdb,0.867
afm_woTemplates_model_3_ptm_pred_189.pdb,0.867
afm_basic_model_3_ptm_pred_154.pdb,0.867
afm_dropout_full_model_3_ptm_pred_199.pdb,0.867
afm_woTemplates_model_3_ptm_pred_29.pdb,0.867
afm_woTemplates_model_3_ptm_pred_125.pdb,0.867
afm_dropout_full_woTemplates_model_3_ptm_pred_173.pdb,0.867
afm_basic_model_3_ptm_pred_40.pdb,0.867
afm_woTemplates_model_3_ptm_pred_50.pdb,0.867
afm_dropout_noSM_woTemplates_model_3_ptm_pred_30.pdb,0.867
afm_dropout_full_woTemplates_model_3_ptm_pred_172.pdb,0.865
afm_dropout_full_woTemplates_model_3_ptm_pred_110.pdb,0.865
afm_woTemplates_model_3_ptm_pred_163.pdb,0.865
afm_dropout_noSM_woTemplates_model_3_ptm_pred_56.pdb,0.865
afm_woTemplates_model_3_ptm_pred_96.pdb,0.865
afm_woTemplates_model_3_ptm_pred_102.pdb,0.865
afm_woTemplates_model_3_ptm_pred_80.pdb,0.865
afm_woTemplates_model_3_ptm_pred_90.pdb,0.865
afm_dropout_full_woTemplates_model_3_ptm_pred_33.pdb,0.865
afm_dropout_full_model_3_ptm_pred_23.pdb,0.865
afm_basic_model_3_ptm_pred_163.pdb,0.865
afm_dropout_full_model_3_ptm_pred_197.pdb,0.865
afm_basic_model_3_ptm_pred_106.pdb,0.865
afm_dropout_noSM_woTemplates_model_3_ptm_pred_105.pdb,0.863
afm_dropout_full_model_3_ptm_pred_194.pdb,0.863
afm_dropout_full_model_3_ptm_pred_84.pdb,0.863
afm_dropout_full_model_3_ptm_pred_150.pdb,0.863
afm_dropout_full_model_3_ptm_pred_161.pdb,0.863
afm_dropout_full_woTemplates_model_3_ptm_pred_128.pdb,0.863
afm_dropout_full_woTemplates_model_3_ptm_pred_36.pdb,0.863
afm_dropout_full_woTemplates_model_3_ptm_pred_144.pdb,0.863
afm_dropout_full_woTemplates_model_3_ptm_pred_45.pdb,0.861
afm_basic_model_3_ptm_pred_77.pdb,0.861
afm_woTemplates_model_3_ptm_pred_69.pdb,0.861
afm_dropout_full_model_3_ptm_pred_82.pdb,0.861
afm_woTemplates_model_3_ptm_pred_26.pdb,0.861
afm_dropout_full_woTemplates_model_3_ptm_pred_130.pdb,0.861
afm_basic_model_3_ptm_pred_65.pdb,0.861
afm_dropout_noSM_woTemplates_model_3_ptm_pred_180.pdb,0.861
afm_basic_model_3_ptm_pred_24.pdb,0.861
afm_woTemplates_model_3_ptm_pred_114.pdb,0.861
afm_dropout_noSM_woTemplates_model_3_ptm_pred_86.pdb,0.861
afm_dropout_noSM_woTemplates_model_3_ptm_pred_79.pdb,0.859
afm_dropout_full_woTemplates_model_3_ptm_pred_157.pdb,0.859
afm_dropout_full_woTemplates_model_3_ptm_pred_182.pdb,0.859
afm_dropout_full_model_3_ptm_pred_91.pdb,0.859
afm_dropout_full_model_3_ptm_pred_99.pdb,0.859
afm_dropout_full_woTemplates_model_3_ptm_pred_8.pdb,0.859
afm_woTemplates_model_3_ptm_pred_18.pdb,0.859
afm_basic_model_3_ptm_pred_104.pdb,0.859
afm_dropout_full_model_3_ptm_pred_178.pdb,0.859
afm_basic_model_3_ptm_pred_52.pdb,0.859
afm_dropout_full_woTemplates_model_3_ptm_pred_2.pdb,0.859
afm_woTemplates_model_3_ptm_pred_182.pdb,0.859
afm_dropout_full_woTemplates_model_3_ptm_pred_69.pdb,0.859
afm_dropout_full_woTemplates_model_3_ptm_pred_194.pdb,0.859
afm_dropout_noSM_woTemplates_model_3_ptm_pred_117.pdb,0.857
afm_dropout_full_model_3_ptm_pred_124.pdb,0.857
afm_dropout_noSM_woTemplates_model_3_ptm_pred_108.pdb,0.857
afm_dropout_noSM_woTemplates_model_3_ptm_pred_145.pdb,0.857
afm_dropout_noSM_woTemplates_model_3_ptm_pred_104.pdb,0.857
afm_dropout_full_woTemplates_model_3_ptm_pred_127.pdb,0.857
afm_dropout_noSM_woTemplates_model_3_ptm_pred_4.pdb,0.857
afm_dropout_full_woTemplates_model_3_ptm_pred_59.pdb,0.857
afm_dropout_full_woTemplates_model_3_ptm_pred_192.pdb,0.857
afm_dropout_full_model_3_ptm_pred_6.pdb,0.857
afm_woTemplates_model_3_ptm_pred_67.pdb,0.857
afm_dropout_noSM_woTemplates_model_3_ptm_pred_60.pdb,0.855
afm_woTemplates_model_3_ptm_pred_160.pdb,0.855
afm_dropout_full_model_3_ptm_pred_86.pdb,0.855
afm_dropout_noSM_woTemplates_model_3_ptm_pred_75.pdb,0.855
afm_dropout_noSM_woTemplates_model_3_ptm_pred_150.pdb,0.855
afm_dropout_full_model_3_ptm_pred_103.pdb,0.855
afm_dropout_noSM_woTemplates_model_3_ptm_pred_3.pdb,0.855
afm_dropout_full_model_3_ptm_pred_158.pdb,0.855
afm_woTemplates_model_3_ptm_pred_196.pdb,0.855
afm_dropout_noSM_woTemplates_model_3_ptm_pred_165.pdb,0.852
afm_dropout_noSM_woTemplates_model_3_ptm_pred_183.pdb,0.852
afm_dropout_full_woTemplates_model_3_ptm_pred_190.pdb,0.852
afm_dropout_noSM_woTemplates_model_3_ptm_pred_16.pdb,0.852
afm_basic_model_3_ptm_pred_63.pdb,0.852
afm_dropout_noSM_woTemplates_model_3_ptm_pred_0.pdb,0.852
afm_woTemplates_model_3_ptm_pred_38.pdb,0.85
afm_basic_model_3_ptm_pred_72.pdb,0.85
afm_woTemplates_model_3_ptm_pred_186.pdb,0.85
afm_dropout_full_model_3_ptm_pred_187.pdb,0.85
afm_dropout_full_model_3_ptm_pred_19.pdb,0.85
afm_dropout_full_woTemplates_model_3_ptm_pred_80.pdb,0.848
afm_woTemplates_model_3_ptm_pred_135.pdb,0.848
