model_name,ips
afm_dropout_noSM_woTemplates_model_2_multimer_v2_pred_30.pdb,0.8
afm_dropout_full_woTemplates_model_5_multimer_v2_pred_8.pdb,0.8
afm_dropout_full_woTemplates_model_2_multimer_v3_pred_39.pdb,0.8
afm_dropout_full_model_1_multimer_v2_pred_12.pdb,0.8
afm_dropout_full_woTemplates_model_2_multimer_v2_pred_35.pdb,0.8
afm_dropout_full_woTemplates_r3_model_2_multimer_v3_pred_60.pdb,0.798
cf_dropout_full_woTemplates_model_4_multimer_v2_pred_30.pdb,0.798
afm_dropout_full_woTemplates_r3_model_4_multimer_v3_pred_54.pdb,0.798
afm_dropout_full_woTemplates_r3_model_5_multimer_v3_pred_65.pdb,0.798
afm_woTemplates_model_4_multimer_v2_pred_11.pdb,0.798
afm_dropout_noSM_woTemplates_model_2_multimer_v2_pred_26.pdb,0.798
cf_dropout_full_woTemplates_model_4_multimer_v2_pred_36.pdb,0.798
afm_dropout_noSM_woTemplates_model_5_multimer_v3_pred_5.pdb,0.798
afm_woTemplates_model_5_multimer_v2_pred_52.pdb,0.797
afm_basic_model_2_multimer_v2_pred_18.pdb,0.797
afm_dropout_noSM_woTemplates_model_5_multimer_v2_pred_5.pdb,0.797
afm_woTemplates_model_5_multimer_v2_pred_66.pdb,0.797
afm_woTemplates_model_5_multimer_v2_pred_61.pdb,0.797
cf_woTemplates_model_2_multimer_v2_pred_49.pdb,0.797
cf_woTemplates_model_5_multimer_v2_pred_58.pdb,0.797
afm_woTemplates_model_5_multimer_v2_pred_47.pdb,0.797
cf_woTemplates_model_5_multimer_v2_pred_5.pdb,0.797
afm_dropout_full_model_2_multimer_v3_pred_38.pdb,0.797
afm_basic_model_5_multimer_v2_pred_1.pdb,0.797
afm_woTemplates_model_2_multimer_v2_pred_38.pdb,0.797
afm_woTemplates_model_5_multimer_v2_pred_26.pdb,0.797
afm_dropout_full_model_5_multimer_v2_pred_53.pdb,0.797
afm_woTemplates_model_2_multimer_v2_pred_10.pdb,0.797
afm_woTemplates_model_5_multimer_v2_pred_29.pdb,0.797
afm_woTemplates_model_5_multimer_v2_pred_15.pdb,0.797
afm_woTemplates_model_5_multimer_v2_pred_21.pdb,0.797
afm_dropout_full_model_5_multimer_v2_pred_58.pdb,0.797
afm_woTemplates_model_5_multimer_v2_pred_41.pdb,0.797
afm_woTemplates_model_5_multimer_v2_pred_24.pdb,0.797
afm_woTemplates_model_5_multimer_v2_pred_48.pdb,0.797
afm_dropout_full_model_5_multimer_v2_pred_2.pdb,0.797
afm_woTemplates_model_5_multimer_v2_pred_40.pdb,0.797
afm_dropout_full_model_5_multimer_v2_pred_26.pdb,0.797
afm_basic_model_2_multimer_v2_pred_24.pdb,0.797
cf_woTemplates_model_5_multimer_v2_pred_36.pdb,0.797
afm_dropout_noSM_woTemplates_model_1_multimer_v2_pred_3.pdb,0.797
afm_dropout_noSM_woTemplates_model_5_multimer_v2_pred_60.pdb,0.797
afm_dropout_full_woTemplates_model_5_multimer_v3_pred_45.pdb,0.797
afm_dropout_full_woTemplates_r3_model_5_multimer_v2_pred_61.pdb,0.797
afm_dropout_full_woTemplates_r3_model_5_multimer_v2_pred_4.pdb,0.797
afm_basic_model_5_multimer_v2_pred_33.pdb,0.797
afm_basic_model_5_multimer_v2_pred_12.pdb,0.797
afm_woTemplates_model_5_multimer_v2_pred_65.pdb,0.797
