model_name,rmsd
afm_dropout_noSM_woTemplates_model_4_multimer_v2_pred_47.pdb,82.05
afm_dropout_full_model_4_multimer_v2_pred_41.pdb,81.957
afm_dropout_full_model_4_multimer_v2_pred_62.pdb,81.865
afm_basic_model_1_multimer_v2_pred_16.pdb,81.806
afm_dropout_full_woTemplates_r3_model_4_multimer_v2_pred_65.pdb,81.802
afm_dropout_full_model_4_multimer_v2_pred_1.pdb,81.722
afm_basic_model_4_multimer_v2_pred_54.pdb,81.711
afm_dropout_full_model_1_multimer_v2_pred_62.pdb,81.612
afm_dropout_full_model_4_multimer_v2_pred_14.pdb,81.577
afm_dropout_full_woTemplates_r3_model_5_multimer_v2_pred_9.pdb,81.527
afm_dropout_full_woTemplates_r3_model_4_multimer_v2_pred_21.pdb,81.526
afm_dropout_full_model_4_multimer_v2_pred_51.pdb,81.488
afm_woTemplates_model_1_multimer_v2_pred_55.pdb,81.421
afm_dropout_noSM_woTemplates_model_4_multimer_v2_pred_45.pdb,81.233
afm_dropout_full_woTemplates_r3_model_4_multimer_v2_pred_53.pdb,81.156
afm_dropout_full_woTemplates_r3_model_4_multimer_v2_pred_59.pdb,81.136
afm_dropout_full_woTemplates_r3_model_4_multimer_v2_pred_14.pdb,80.994
afm_basic_model_4_multimer_v2_pred_1.pdb,80.907
afm_dropout_full_woTemplates_r3_model_3_multimer_v2_pred_30.pdb,80.716
afm_dropout_noSM_woTemplates_model_4_multimer_v2_pred_46.pdb,80.643
afm_dropout_full_model_4_multimer_v2_pred_27.pdb,80.623
afm_dropout_noSM_woTemplates_model_4_multimer_v2_pred_9.pdb,80.47
afm_woTemplates_model_4_multimer_v2_pred_44.pdb,80.465
afm_dropout_full_model_4_multimer_v2_pred_17.pdb,80.455
afm_dropout_full_woTemplates_r3_model_4_multimer_v2_pred_44.pdb,80.428
afm_dropout_full_model_4_multimer_v2_pred_48.pdb,80.12
afm_dropout_full_model_4_multimer_v2_pred_40.pdb,80.087
afm_basic_model_3_multimer_v2_pred_39.pdb,80.019
afm_dropout_full_woTemplates_model_4_multimer_v2_pred_6.pdb,80.017
