model_name,qs_global
afm_dropout_full_model_4_multimer_v1_pred_36.pdb,0.681
cf_dropout_full_woTemplates_model_1_multimer_v1_pred_17.pdb,0.681
afm_basic_model_2_multimer_v3_pred_38.pdb,0.681
afm_basic_model_2_multimer_v3_pred_18.pdb,0.681
cf_dropout_full_woTemplates_model_3_multimer_v1_pred_47.pdb,0.68
afm_basic_model_2_multimer_v3_pred_23.pdb,0.68
afm_basic_model_2_multimer_v3_pred_40.pdb,0.68
cf_dropout_full_woTemplates_model_1_multimer_v3_pred_2.pdb,0.68
cf_woTemplates_model_1_multimer_v1_pred_40.pdb,0.679
cf_woTemplates_model_2_multimer_v3_pred_60.pdb,0.679
cf_woTemplates_model_1_multimer_v1_pred_61.pdb,0.679
cf_woTemplates_model_2_multimer_v3_pred_40.pdb,0.678
afm_dropout_full_woTemplates_model_5_multimer_v3_pred_27.pdb,0.678
cf_dropout_full_woTemplates_model_1_multimer_v1_pred_47.pdb,0.678
cf_woTemplates_model_1_multimer_v1_pred_44.pdb,0.678
cf_woTemplates_model_1_multimer_v1_pred_14.pdb,0.678
afm_basic_model_2_multimer_v3_pred_64.pdb,0.678
cf_woTemplates_model_1_multimer_v1_pred_1.pdb,0.678
afm_basic_model_2_multimer_v3_pred_65.pdb,0.678
afm_dropout_full_woTemplates_r3_model_5_multimer_v3_pred_29.pdb,0.677
afm_basic_model_5_multimer_v3_pred_20.pdb,0.677
cf_dropout_full_woTemplates_model_1_multimer_v1_pred_57.pdb,0.677
cf_woTemplates_model_1_multimer_v1_pred_65.pdb,0.676
cf_woTemplates_model_5_multimer_v1_pred_41.pdb,0.676
cf_dropout_full_woTemplates_model_4_multimer_v2_pred_2.pdb,0.676
afm_dropout_full_woTemplates_r3_model_4_multimer_v3_pred_52.pdb,0.676
cf_dropout_full_woTemplates_model_2_multimer_v2_pred_7.pdb,0.676
cf_woTemplates_model_3_multimer_v1_pred_3.pdb,0.676
cf_woTemplates_model_1_multimer_v1_pred_37.pdb,0.676
cf_dropout_full_woTemplates_model_2_multimer_v3_pred_34.pdb,0.675
afm_basic_model_2_multimer_v3_pred_44.pdb,0.675
afm_dropout_full_model_2_multimer_v3_pred_53.pdb,0.675
cf_woTemplates_model_2_multimer_v3_pred_56.pdb,0.675
afm_dropout_full_woTemplates_model_5_multimer_v3_pred_19.pdb,0.675
afm_basic_model_5_multimer_v3_pred_52.pdb,0.674
cf_woTemplates_model_1_multimer_v1_pred_17.pdb,0.674
cf_dropout_full_woTemplates_model_1_multimer_v1_pred_16.pdb,0.674
afm_basic_model_2_multimer_v3_pred_52.pdb,0.674
cf_woTemplates_model_1_multimer_v1_pred_23.pdb,0.673
afm_basic_model_5_multimer_v3_pred_33.pdb,0.673
cf_woTemplates_model_1_multimer_v1_pred_50.pdb,0.673
cf_woTemplates_model_1_multimer_v1_pred_56.pdb,0.673
afm_dropout_noSM_woTemplates_model_1_multimer_v1_pred_34.pdb,0.672
afm_basic_model_2_multimer_v3_pred_6.pdb,0.672
