model_name,ips
afm_dropout_full_model_4_multimer_v3_pred_1.pdb,0.244
cf_dropout_full_woTemplates_model_3_multimer_v2_pred_33.pdb,0.244
afm_dropout_noSM_woTemplates_model_3_multimer_v2_pred_44.pdb,0.244
afm_dropout_full_model_4_multimer_v3_pred_43.pdb,0.244
afm_woTemplates_model_3_multimer_v2_pred_24.pdb,0.244
afm_basic_model_3_multimer_v3_pred_21.pdb,0.243
afm_basic_model_5_multimer_v3_pred_42.pdb,0.243
afm_basic_model_1_multimer_v2_pred_37.pdb,0.243
afm_dropout_full_model_4_multimer_v3_pred_66.pdb,0.243
afm_basic_model_1_multimer_v2_pred_6.pdb,0.243
afm_basic_model_3_multimer_v3_pred_13.pdb,0.243
afm_woTemplates_model_3_multimer_v2_pred_62.pdb,0.243
afm_basic_model_3_multimer_v3_pred_23.pdb,0.243
cf_woTemplates_model_5_multimer_v2_pred_63.pdb,0.243
afm_dropout_full_model_1_multimer_v2_pred_34.pdb,0.243
afm_dropout_full_model_1_multimer_v2_pred_29.pdb,0.243
afm_dropout_full_woTemplates_model_3_multimer_v2_pred_15.pdb,0.243
afm_basic_model_5_multimer_v3_pred_22.pdb,0.243
afm_basic_model_4_multimer_v3_pred_1.pdb,0.242
afm_dropout_full_woTemplates_model_4_multimer_v2_pred_31.pdb,0.242
afm_dropout_noSM_woTemplates_model_3_multimer_v2_pred_24.pdb,0.242
cf_woTemplates_model_3_multimer_v2_pred_28.pdb,0.242
afm_basic_model_5_multimer_v3_pred_44.pdb,0.242
afm_woTemplates_model_3_multimer_v2_pred_40.pdb,0.242
afm_woTemplates_model_3_multimer_v2_pred_39.pdb,0.242
afm_dropout_full_model_4_multimer_v3_pred_14.pdb,0.242
afm_basic_model_4_multimer_v3_pred_61.pdb,0.241
afm_dropout_full_model_4_multimer_v3_pred_3.pdb,0.241
afm_basic_model_3_multimer_v3_pred_63.pdb,0.241
afm_basic_model_3_multimer_v3_pred_64.pdb,0.241
afm_dropout_full_model_4_multimer_v3_pred_28.pdb,0.241
afm_dropout_full_model_4_multimer_v3_pred_47.pdb,0.241
afm_basic_model_1_multimer_v2_pred_24.pdb,0.241
afm_basic_model_1_multimer_v2_pred_1.pdb,0.241
afm_basic_model_4_multimer_v3_pred_62.pdb,0.241
afm_dropout_full_model_3_multimer_v3_pred_62.pdb,0.241
afm_woTemplates_model_3_multimer_v2_pred_46.pdb,0.241
afm_basic_model_1_multimer_v2_pred_5.pdb,0.241
afm_dropout_full_model_2_multimer_v3_pred_17.pdb,0.241
afm_woTemplates_model_3_multimer_v2_pred_3.pdb,0.241
cf_woTemplates_model_3_multimer_v3_pred_12.pdb,0.24
afm_dropout_full_model_4_multimer_v3_pred_45.pdb,0.24
afm_basic_model_4_multimer_v3_pred_51.pdb,0.24
afm_basic_model_1_multimer_v2_pred_57.pdb,0.24
afm_basic_model_3_multimer_v3_pred_2.pdb,0.24
afm_dropout_noSM_woTemplates_model_3_multimer_v2_pred_14.pdb,0.24
