model_name,ics
cf_woTemplates_model_3_multimer_v2_pred_25.pdb,0.034
afm_woTemplates_model_3_multimer_v3_pred_17.pdb,0.033
afm_woTemplates_model_3_multimer_v3_pred_50.pdb,0.033
cf_dropout_full_woTemplates_model_3_multimer_v2_pred_61.pdb,0.033
afm_woTemplates_model_4_multimer_v3_pred_11.pdb,0.033
afm_dropout_full_woTemplates_model_2_multimer_v3_pred_54.pdb,0.033
afm_dropout_full_woTemplates_r3_model_3_multimer_v3_pred_19.pdb,0.033
afm_dropout_full_woTemplates_r3_model_4_multimer_v3_pred_17.pdb,0.033
afm_dropout_noSM_woTemplates_model_3_multimer_v2_pred_15.pdb,0.033
afm_dropout_full_woTemplates_model_5_multimer_v3_pred_45.pdb,0.033
afm_woTemplates_model_1_multimer_v3_pred_10.pdb,0.033
afm_dropout_noSM_woTemplates_model_2_multimer_v2_pred_17.pdb,0.033
cf_woTemplates_model_3_multimer_v2_pred_18.pdb,0.033
afm_dropout_full_woTemplates_model_3_multimer_v2_pred_20.pdb,0.033
cf_dropout_full_woTemplates_model_3_multimer_v2_pred_34.pdb,0.033
afm_dropout_full_woTemplates_model_3_multimer_v2_pred_48.pdb,0.033
cf_dropout_full_woTemplates_model_3_multimer_v2_pred_57.pdb,0.033
afm_dropout_noSM_woTemplates_model_2_multimer_v2_pred_52.pdb,0.033
afm_dropout_full_woTemplates_model_5_multimer_v3_pred_14.pdb,0.033
afm_woTemplates_model_4_multimer_v3_pred_16.pdb,0.033
cf_dropout_full_woTemplates_model_5_multimer_v3_pred_3.pdb,0.033
cf_woTemplates_model_2_multimer_v3_pred_31.pdb,0.033
cf_dropout_full_woTemplates_model_3_multimer_v2_pred_9.pdb,0.033
afm_dropout_noSM_woTemplates_model_3_multimer_v2_pred_59.pdb,0.032
afm_dropout_full_woTemplates_model_3_multimer_v2_pred_28.pdb,0.032
afm_woTemplates_model_3_multimer_v2_pred_30.pdb,0.032
afm_woTemplates_model_4_multimer_v3_pred_14.pdb,0.032
afm_woTemplates_model_2_multimer_v2_pred_47.pdb,0.032
cf_dropout_full_woTemplates_model_3_multimer_v2_pred_62.pdb,0.032
cf_woTemplates_model_5_multimer_v2_pred_27.pdb,0.032
cf_dropout_full_woTemplates_model_3_multimer_v2_pred_5.pdb,0.032
afm_dropout_full_woTemplates_r3_model_4_multimer_v3_pred_6.pdb,0.032
afm_dropout_full_woTemplates_r3_model_4_multimer_v3_pred_49.pdb,0.032
afm_woTemplates_model_1_multimer_v3_pred_21.pdb,0.032
afm_woTemplates_model_3_multimer_v2_pred_0.pdb,0.032
afm_dropout_full_woTemplates_model_5_multimer_v3_pred_7.pdb,0.032
afm_dropout_full_woTemplates_model_3_multimer_v2_pred_34.pdb,0.031
afm_dropout_full_woTemplates_model_3_multimer_v2_pred_49.pdb,0.031
afm_dropout_noSM_woTemplates_model_5_multimer_v3_pred_54.pdb,0.031
