model_name,ilddt
afm_dropout_full_model_1_multimer_v3_pred_27.pdb,0.175
afm_dropout_full_model_2_multimer_v3_pred_38.pdb,0.175
afm_basic_model_1_multimer_v2_pred_43.pdb,0.175
afm_dropout_full_model_1_multimer_v3_pred_4.pdb,0.175
afm_basic_model_1_multimer_v2_pred_52.pdb,0.175
afm_basic_model_5_multimer_v3_pred_63.pdb,0.175
afm_dropout_full_model_1_multimer_v3_pred_59.pdb,0.175
afm_basic_model_2_multimer_v3_pred_60.pdb,0.175
afm_basic_model_1_multimer_v2_pred_15.pdb,0.175
afm_dropout_full_model_1_multimer_v2_pred_30.pdb,0.175
afm_basic_model_5_multimer_v3_pred_57.pdb,0.175
afm_dropout_full_model_1_multimer_v3_pred_61.pdb,0.175
afm_basic_model_1_multimer_v2_pred_34.pdb,0.175
afm_dropout_full_model_1_multimer_v3_pred_41.pdb,0.175
afm_basic_model_4_multimer_v3_pred_53.pdb,0.175
afm_basic_model_1_multimer_v2_pred_57.pdb,0.175
afm_basic_model_2_multimer_v3_pred_34.pdb,0.175
afm_basic_model_4_multimer_v3_pred_38.pdb,0.175
afm_basic_model_5_multimer_v3_pred_11.pdb,0.175
afm_basic_model_2_multimer_v3_pred_8.pdb,0.175
afm_basic_model_5_multimer_v3_pred_37.pdb,0.175
afm_basic_model_1_multimer_v2_pred_50.pdb,0.175
afm_basic_model_1_multimer_v2_pred_47.pdb,0.174
afm_basic_model_1_multimer_v2_pred_30.pdb,0.174
afm_dropout_full_model_1_multimer_v2_pred_54.pdb,0.174
afm_dropout_full_model_1_multimer_v3_pred_49.pdb,0.174
afm_dropout_full_model_5_multimer_v3_pred_56.pdb,0.174
afm_basic_model_4_multimer_v3_pred_40.pdb,0.174
afm_dropout_full_model_5_multimer_v3_pred_28.pdb,0.174
afm_dropout_full_model_5_multimer_v3_pred_41.pdb,0.174
afm_dropout_full_model_2_multimer_v3_pred_33.pdb,0.174
afm_dropout_full_model_2_multimer_v3_pred_55.pdb,0.174
afm_basic_model_5_multimer_v3_pred_9.pdb,0.174
afm_dropout_full_model_1_multimer_v2_pred_17.pdb,0.174
