model_name,dockq_ave
afm_basic_model_5_multimer_v2_pred_0.pdb,0.559
afm_basic_model_5_multimer_v2_pred_2.pdb,0.547
afm_basic_model_1_multimer_v2_pred_3.pdb,0.541
afm_basic_model_1_multimer_v2_pred_4.pdb,0.537
afm_basic_model_1_multimer_v2_pred_1.pdb,0.535
afm_basic_model_1_multimer_v2_pred_2.pdb,0.531
afm_basic_model_1_multimer_v2_pred_0.pdb,0.529
cf_woTemplates_model_1_multimer_v2_pred_4.pdb,0.527
afm_woTemplates_model_1_multimer_v2_pred_1.pdb,0.48
afm_woTemplates_model_1_multimer_v2_pred_4.pdb,0.477
afm_woTemplates_model_1_multimer_v2_pred_0.pdb,0.462
afm_basic_model_2_multimer_v2_pred_2.pdb,0.456
afm_woTemplates_model_1_multimer_v2_pred_2.pdb,0.421
afm_basic_model_2_multimer_v2_pred_0.pdb,0.416
afm_woTemplates_model_1_multimer_v2_pred_3.pdb,0.405
afm_basic_model_2_multimer_v2_pred_3.pdb,0.36
afm_basic_model_2_multimer_v2_pred_1.pdb,0.31
afm_basic_model_2_multimer_v2_pred_4.pdb,0.308
afm_basic_model_4_multimer_v2_pred_0.pdb,0.238
afm_basic_model_3_multimer_v2_pred_1.pdb,0.232
afm_basic_model_3_multimer_v2_pred_3.pdb,0.218
afm_dropout_full_model_1_multimer_v1_pred_4.pdb,0.212
cf_dropout_full_woTemplates_model_1_multimer_v1_pred_1.pdb,0.212
afm_dropout_full_model_1_multimer_v1_pred_0.pdb,0.203
cf_dropout_full_woTemplates_model_1_multimer_v1_pred_0.pdb,0.2
afm_dropout_full_model_1_multimer_v2_pred_4.pdb,0.197
afm_dropout_full_model_1_multimer_v1_pred_1.pdb,0.186
afm_basic_model_1_multimer_v1_pred_1.pdb,0.185
afm_dropout_full_model_1_multimer_v2_pred_2.pdb,0.184
afm_basic_model_1_multimer_v1_pred_2.pdb,0.183
afm_dropout_full_model_1_multimer_v1_pred_3.pdb,0.179
afm_woTemplates_model_1_multimer_v1_pred_3.pdb,0.178
afm_basic_model_3_multimer_v2_pred_4.pdb,0.176
afm_basic_model_1_multimer_v1_pred_4.pdb,0.176
afm_dropout_full_woTemplates_model_1_multimer_v1_pred_2.pdb,0.175
afm_basic_model_1_multimer_v1_pred_3.pdb,0.174
afm_dropout_full_model_1_multimer_v1_pred_2.pdb,0.17
cf_dropout_full_woTemplates_model_1_multimer_v1_pred_2.pdb,0.167
afm_basic_model_1_multimer_v1_pred_0.pdb,0.163
afm_dropout_full_woTemplates_model_1_multimer_v1_pred_3.pdb,0.162
afm_basic_model_3_multimer_v1_pred_3.pdb,0.158
afm_dropout_full_woTemplates_model_1_multimer_v1_pred_4.pdb,0.156
afm_woTemplates_model_1_multimer_v1_pred_1.pdb,0.156
afm_basic_model_4_multimer_v2_pred_3.pdb,0.15
cf_dropout_full_woTemplates_model_5_multimer_v1_pred_1.pdb,0.149
afm_woTemplates_model_1_multimer_v1_pred_0.pdb,0.142
afm_woTemplates_model_1_multimer_v1_pred_4.pdb,0.139
afm_basic_model_3_multimer_v1_pred_1.pdb,0.139
afm_basic_model_3_multimer_v1_pred_2.pdb,0.136
afm_dropout_full_woTemplates_model_1_multimer_v1_pred_1.pdb,0.132
afm_dropout_full_woTemplates_model_5_multimer_v1_pred_0.pdb,0.131
afm_basic_model_3_multimer_v1_pred_4.pdb,0.13
afm_dropout_full_model_3_multimer_v1_pred_3.pdb,0.13
afm_dropout_full_model_3_multimer_v1_pred_1.pdb,0.126
afm_dropout_noSM_woTemplates_model_1_multimer_v1_pred_4.pdb,0.123
afm_dropout_full_model_2_multimer_v1_pred_0.pdb,0.123
afm_dropout_full_woTemplates_model_5_multimer_v1_pred_1.pdb,0.117
afm_dropout_full_woTemplates_model_5_multimer_v1_pred_2.pdb,0.116
afm_basic_model_4_multimer_v2_pred_2.pdb,0.116
afm_dropout_full_woTemplates_model_1_multimer_v1_pred_0.pdb,0.116
afm_dropout_full_model_1_multimer_v2_pred_3.pdb,0.115
afm_woTemplates_model_5_multimer_v1_pred_2.pdb,0.114
afm_basic_model_3_multimer_v1_pred_0.pdb,0.113
afm_dropout_full_model_2_multimer_v1_pred_1.pdb,0.11
afm_dropout_noSM_woTemplates_model_1_multimer_v1_pred_2.pdb,0.108
afm_dropout_full_model_3_multimer_v1_pred_2.pdb,0.107
cf_dropout_full_woTemplates_model_3_multimer_v1_pred_2.pdb,0.106
afm_dropout_noSM_woTemplates_model_1_multimer_v1_pred_3.pdb,0.105
afm_dropout_full_model_3_multimer_v1_pred_4.pdb,0.105
afm_woTemplates_model_1_multimer_v1_pred_2.pdb,0.104
afm_woTemplates_model_3_multimer_v2_pred_0.pdb,0.103
afm_dropout_full_model_2_multimer_v1_pred_4.pdb,0.102
