model_name,ics
cf_dropout_full_woTemplates_model_3_multimer_v3_pred_0.pdb,0.191
afm_dropout_noSM_woTemplates_model_3_multimer_v3_pred_1.pdb,0.19
afm_dropout_noSM_woTemplates_model_5_multimer_v3_pred_2.pdb,0.187
afm_woTemplates_model_5_multimer_v3_pred_0.pdb,0.182
cf_woTemplates_model_5_multimer_v3_pred_3.pdb,0.18
cf_dropout_full_woTemplates_model_3_multimer_v2_pred_0.pdb,0.178
afm_dropout_full_model_3_multimer_v3_pred_1.pdb,0.177
afm_basic_model_2_multimer_v2_pred_3.pdb,0.176
afm_basic_model_5_multimer_v3_pred_3.pdb,0.175
afm_basic_model_3_multimer_v3_pred_4.pdb,0.174
afm_basic_model_5_multimer_v3_pred_0.pdb,0.171
afm_basic_model_4_multimer_v2_pred_2.pdb,0.168
afm_woTemplates_model_3_multimer_v3_pred_3.pdb,0.168
afm_woTemplates_model_5_multimer_v3_pred_2.pdb,0.167
afm_dropout_full_woTemplates_model_3_multimer_v3_pred_3.pdb,0.166
afm_dropout_noSM_woTemplates_model_5_multimer_v3_pred_4.pdb,0.166
afm_woTemplates_model_4_multimer_v2_pred_0.pdb,0.166
afm_woTemplates_model_3_multimer_v2_pred_4.pdb,0.165
cf_dropout_full_woTemplates_model_3_multimer_v3_pred_4.pdb,0.162
afm_woTemplates_model_3_multimer_v3_pred_4.pdb,0.16
cf_dropout_full_woTemplates_model_3_multimer_v3_pred_3.pdb,0.156
afm_woTemplates_model_3_multimer_v3_pred_0.pdb,0.155
afm_woTemplates_model_3_multimer_v3_pred_1.pdb,0.155
afm_woTemplates_model_4_multimer_v2_pred_1.pdb,0.154
cf_woTemplates_model_3_multimer_v3_pred_1.pdb,0.151
cf_dropout_full_woTemplates_model_3_multimer_v3_pred_1.pdb,0.151
afm_basic_model_5_multimer_v3_pred_2.pdb,0.15
afm_dropout_full_woTemplates_model_3_multimer_v3_pred_2.pdb,0.149
afm_basic_model_5_multimer_v3_pred_4.pdb,0.148
afm_dropout_full_woTemplates_model_3_multimer_v3_pred_4.pdb,0.146
afm_woTemplates_model_5_multimer_v3_pred_1.pdb,0.145
afm_basic_model_2_multimer_v2_pred_4.pdb,0.144
afm_dropout_noSM_woTemplates_model_3_multimer_v3_pred_4.pdb,0.144
afm_dropout_full_woTemplates_model_1_multimer_v2_pred_2.pdb,0.14
afm_basic_model_5_multimer_v3_pred_1.pdb,0.139
afm_woTemplates_model_5_multimer_v3_pred_3.pdb,0.136
afm_dropout_full_woTemplates_model_2_multimer_v3_pred_3.pdb,0.127
afm_dropout_full_woTemplates_model_3_multimer_v2_pred_1.pdb,0.123
afm_dropout_full_model_3_multimer_v2_pred_1.pdb,0.121
afm_woTemplates_model_4_multimer_v2_pred_2.pdb,0.12
cf_dropout_full_woTemplates_model_3_multimer_v2_pred_4.pdb,0.114
afm_woTemplates_model_2_multimer_v2_pred_0.pdb,0.108
cf_dropout_full_woTemplates_model_5_multimer_v2_pred_0.pdb,0.106
afm_woTemplates_model_3_multimer_v3_pred_2.pdb,0.103
afm_dropout_full_model_5_multimer_v2_pred_3.pdb,0.099
afm_basic_model_3_multimer_v3_pred_1.pdb,0.099
afm_basic_model_3_multimer_v2_pred_0.pdb,0.099
afm_woTemplates_model_2_multimer_v2_pred_1.pdb,0.095
afm_dropout_full_model_4_multimer_v2_pred_2.pdb,0.092
afm_dropout_full_model_5_multimer_v2_pred_2.pdb,0.079
afm_dropout_noSM_woTemplates_model_3_multimer_v2_pred_2.pdb,0.072
cf_dropout_full_woTemplates_model_3_multimer_v2_pred_3.pdb,0.07
afm_dropout_full_model_5_multimer_v2_pred_4.pdb,0.069
afm_dropout_full_model_5_multimer_v2_pred_0.pdb,0.068
afm_dropout_noSM_woTemplates_model_5_multimer_v2_pred_4.pdb,0.068
cf_woTemplates_model_2_multimer_v2_pred_0.pdb,0.068
afm_dropout_full_model_2_multimer_v2_pred_0.pdb,0.067
afm_dropout_full_woTemplates_model_3_multimer_v2_pred_3.pdb,0.065
