model_name,oligo_gdtha
afm_dropout_full_model_5_multimer_v2_pred_3.pdb,0.088
afm_dropout_full_model_4_multimer_v2_pred_1.pdb,0.088
afm_dropout_full_model_4_multimer_v2_pred_0.pdb,0.088
afm_dropout_full_model_2_multimer_v2_pred_0.pdb,0.088
afm_dropout_full_model_5_multimer_v2_pred_1.pdb,0.088
cf_woTemplates_model_4_multimer_v2_pred_1.pdb,0.087
afm_dropout_full_model_4_multimer_v2_pred_3.pdb,0.087
afm_dropout_full_model_4_multimer_v2_pred_2.pdb,0.086
afm_woTemplates_model_5_multimer_v2_pred_3.pdb,0.086
afm_dropout_full_model_3_multimer_v2_pred_3.pdb,0.086
afm_dropout_full_model_2_multimer_v2_pred_4.pdb,0.085
afm_dropout_full_model_2_multimer_v2_pred_2.pdb,0.083
cf_dropout_full_woTemplates_model_3_multimer_v2_pred_0.pdb,0.083
afm_dropout_full_model_2_multimer_v2_pred_3.pdb,0.082
afm_dropout_full_model_5_multimer_v2_pred_0.pdb,0.081
afm_woTemplates_model_3_multimer_v2_pred_1.pdb,0.08
cf_dropout_full_woTemplates_model_1_multimer_v2_pred_2.pdb,0.078
afm_dropout_full_model_5_multimer_v2_pred_2.pdb,0.078
afm_woTemplates_model_5_multimer_v2_pred_1.pdb,0.078
afm_dropout_full_woTemplates_model_1_multimer_v2_pred_3.pdb,0.076
afm_woTemplates_model_3_multimer_v2_pred_0.pdb,0.076
afm_woTemplates_model_5_multimer_v2_pred_4.pdb,0.076
afm_dropout_full_woTemplates_model_1_multimer_v2_pred_2.pdb,0.076
afm_woTemplates_model_3_multimer_v2_pred_3.pdb,0.076
afm_woTemplates_model_3_multimer_v2_pred_2.pdb,0.075
afm_dropout_full_woTemplates_model_1_multimer_v2_pred_0.pdb,0.075
cf_dropout_full_woTemplates_model_1_multimer_v2_pred_4.pdb,0.074
afm_woTemplates_model_4_multimer_v2_pred_4.pdb,0.074
afm_woTemplates_model_4_multimer_v2_pred_2.pdb,0.074
afm_woTemplates_model_5_multimer_v2_pred_0.pdb,0.074
cf_dropout_full_woTemplates_model_3_multimer_v2_pred_1.pdb,0.072
afm_woTemplates_model_4_multimer_v2_pred_0.pdb,0.072
afm_woTemplates_model_3_multimer_v2_pred_4.pdb,0.071
afm_basic_model_1_multimer_v1_pred_2.pdb,0.07
afm_woTemplates_model_4_multimer_v2_pred_1.pdb,0.069
afm_woTemplates_model_2_multimer_v2_pred_1.pdb,0.069
afm_basic_model_1_multimer_v1_pred_1.pdb,0.068
afm_basic_model_1_multimer_v1_pred_0.pdb,0.068
cf_dropout_full_woTemplates_model_3_multimer_v2_pred_4.pdb,0.068
afm_basic_model_1_multimer_v1_pred_4.pdb,0.068
afm_dropout_full_model_3_multimer_v1_pred_0.pdb,0.068
afm_woTemplates_model_2_multimer_v2_pred_2.pdb,0.067
afm_dropout_full_woTemplates_model_4_multimer_v2_pred_1.pdb,0.067
afm_dropout_full_model_3_multimer_v1_pred_1.pdb,0.067
afm_dropout_full_woTemplates_model_1_multimer_v2_pred_1.pdb,0.067
afm_woTemplates_model_5_multimer_v2_pred_2.pdb,0.067
afm_woTemplates_model_1_multimer_v1_pred_3.pdb,0.066
afm_dropout_full_woTemplates_model_3_multimer_v2_pred_3.pdb,0.066
afm_dropout_full_woTemplates_model_3_multimer_v2_pred_1.pdb,0.065
afm_woTemplates_model_2_multimer_v2_pred_0.pdb,0.065
cf_woTemplates_model_2_multimer_v2_pred_0.pdb,0.065
afm_woTemplates_model_2_multimer_v2_pred_4.pdb,0.064
afm_dropout_full_model_3_multimer_v1_pred_4.pdb,0.064
afm_woTemplates_model_4_multimer_v2_pred_3.pdb,0.063
afm_basic_model_1_multimer_v1_pred_3.pdb,0.063
afm_dropout_full_woTemplates_model_3_multimer_v2_pred_4.pdb,0.063
cf_dropout_full_woTemplates_model_4_multimer_v2_pred_3.pdb,0.062
