model_name,rmsd
cf_dropout_full_woTemplates_model_4_multimer_v3_pred_53.pdb,1.028
cf_dropout_full_woTemplates_model_1_multimer_v1_pred_60.pdb,1.027
cf_dropout_full_woTemplates_model_5_multimer_v2_pred_3.pdb,1.026
cf_woTemplates_model_2_multimer_v1_pred_30.pdb,1.026
cf_woTemplates_model_4_multimer_v2_pred_61.pdb,1.025
cf_woTemplates_model_4_multimer_v1_pred_20.pdb,1.024
cf_dropout_full_woTemplates_model_5_multimer_v1_pred_26.pdb,1.023
cf_woTemplates_model_4_multimer_v2_pred_10.pdb,1.023
cf_dropout_full_woTemplates_model_3_multimer_v1_pred_46.pdb,1.023
cf_dropout_full_woTemplates_model_3_multimer_v1_pred_66.pdb,1.022
cf_woTemplates_model_1_multimer_v3_pred_63.pdb,1.021
cf_woTemplates_model_4_multimer_v2_pred_35.pdb,1.02
cf_woTemplates_model_5_multimer_v1_pred_41.pdb,1.02
cf_woTemplates_model_4_multimer_v2_pred_62.pdb,1.019
cf_dropout_full_woTemplates_model_5_multimer_v2_pred_1.pdb,1.019
cf_dropout_full_woTemplates_model_5_multimer_v1_pred_62.pdb,1.019
cf_dropout_full_woTemplates_model_2_multimer_v1_pred_10.pdb,1.018
cf_dropout_full_woTemplates_model_2_multimer_v1_pred_53.pdb,1.018
cf_woTemplates_model_3_multimer_v2_pred_62.pdb,1.017
cf_woTemplates_model_4_multimer_v2_pred_46.pdb,1.017
cf_dropout_full_woTemplates_model_4_multimer_v1_pred_53.pdb,1.016
cf_woTemplates_model_4_multimer_v2_pred_5.pdb,1.016
cf_woTemplates_model_1_multimer_v3_pred_47.pdb,1.016
cf_dropout_full_woTemplates_model_3_multimer_v1_pred_60.pdb,1.015
cf_woTemplates_model_2_multimer_v1_pred_34.pdb,1.015
cf_woTemplates_model_5_multimer_v2_pred_37.pdb,1.013
cf_woTemplates_model_1_multimer_v2_pred_31.pdb,1.012
cf_dropout_full_woTemplates_model_5_multimer_v2_pred_48.pdb,1.01
cf_woTemplates_model_1_multimer_v3_pred_40.pdb,1.009
cf_dropout_full_woTemplates_model_1_multimer_v1_pred_66.pdb,1.008
cf_woTemplates_model_5_multimer_v2_pred_30.pdb,1.007
cf_woTemplates_model_1_multimer_v3_pred_41.pdb,1.006
cf_dropout_full_woTemplates_model_1_multimer_v1_pred_46.pdb,1.005
cf_dropout_full_woTemplates_model_4_multimer_v1_pred_20.pdb,1.003
cf_dropout_full_woTemplates_model_1_multimer_v3_pred_14.pdb,1.002
cf_dropout_full_woTemplates_model_4_multimer_v2_pred_46.pdb,1.002
cf_woTemplates_model_3_multimer_v2_pred_57.pdb,1.002
cf_dropout_full_woTemplates_model_5_multimer_v2_pred_36.pdb,1.001
cf_woTemplates_model_5_multimer_v1_pred_27.pdb,1.001
cf_woTemplates_model_5_multimer_v2_pred_33.pdb,1.001
cf_woTemplates_model_4_multimer_v2_pred_49.pdb,1.0
cf_woTemplates_model_1_multimer_v3_pred_62.pdb,0.998
cf_dropout_full_woTemplates_model_5_multimer_v2_pred_25.pdb,0.998
cf_woTemplates_model_4_multimer_v2_pred_20.pdb,0.997
afm_basic_model_3_multimer_v2_pred_46.pdb,0.997
cf_woTemplates_model_1_multimer_v3_pred_57.pdb,0.997
cf_dropout_full_woTemplates_model_4_multimer_v3_pred_17.pdb,0.995
cf_dropout_full_woTemplates_model_4_multimer_v2_pred_63.pdb,0.995
cf_woTemplates_model_5_multimer_v2_pred_24.pdb,0.995
cf_woTemplates_model_4_multimer_v2_pred_55.pdb,0.994
cf_dropout_full_woTemplates_model_5_multimer_v2_pred_62.pdb,0.994
cf_dropout_full_woTemplates_model_3_multimer_v1_pred_48.pdb,0.994
cf_woTemplates_model_2_multimer_v1_pred_38.pdb,0.993
cf_dropout_full_woTemplates_model_1_multimer_v1_pred_48.pdb,0.993
cf_dropout_full_woTemplates_model_2_multimer_v1_pred_7.pdb,0.992
cf_dropout_full_woTemplates_model_5_multimer_v2_pred_14.pdb,0.991
cf_woTemplates_model_1_multimer_v3_pred_64.pdb,0.991
cf_woTemplates_model_1_multimer_v3_pred_52.pdb,0.991
cf_woTemplates_model_2_multimer_v1_pred_19.pdb,0.99
cf_dropout_full_woTemplates_model_5_multimer_v1_pred_49.pdb,0.99
cf_woTemplates_model_2_multimer_v1_pred_58.pdb,0.989
cf_dropout_full_woTemplates_model_3_multimer_v1_pred_43.pdb,0.988
cf_dropout_full_woTemplates_model_2_multimer_v1_pred_45.pdb,0.988
cf_woTemplates_model_3_multimer_v1_pred_4.pdb,0.988
cf_woTemplates_model_4_multimer_v2_pred_38.pdb,0.987
afm_dropout_full_woTemplates_model_3_multimer_v2_pred_29.pdb,0.986
cf_woTemplates_model_3_multimer_v2_pred_21.pdb,0.985
afm_dropout_full_woTemplates_model_4_multimer_v2_pred_20.pdb,0.984
cf_dropout_full_woTemplates_model_1_multimer_v3_pred_30.pdb,0.983
cf_dropout_full_woTemplates_model_5_multimer_v2_pred_0.pdb,0.982
cf_woTemplates_model_2_multimer_v2_pred_60.pdb,0.982
cf_dropout_full_woTemplates_model_1_multimer_v1_pred_34.pdb,0.981
cf_woTemplates_model_2_multimer_v2_pred_64.pdb,0.98
cf_dropout_full_woTemplates_model_2_multimer_v1_pred_60.pdb,0.978
cf_woTemplates_model_4_multimer_v1_pred_25.pdb,0.977
afm_dropout_noSM_woTemplates_model_3_multimer_v2_pred_15.pdb,0.977
cf_woTemplates_model_4_multimer_v2_pred_30.pdb,0.976
cf_woTemplates_model_1_multimer_v3_pred_19.pdb,0.976
cf_dropout_full_woTemplates_model_5_multimer_v2_pred_30.pdb,0.975
cf_dropout_full_woTemplates_model_3_multimer_v1_pred_9.pdb,0.975
cf_woTemplates_model_2_multimer_v3_pred_7.pdb,0.975
cf_dropout_full_woTemplates_model_4_multimer_v3_pred_66.pdb,0.975
cf_woTemplates_model_4_multimer_v3_pred_5.pdb,0.974
cf_woTemplates_model_5_multimer_v1_pred_50.pdb,0.973
cf_woTemplates_model_5_multimer_v1_pred_14.pdb,0.972
afm_dropout_noSM_woTemplates_model_3_multimer_v2_pred_60.pdb,0.971
afm_woTemplates_model_3_multimer_v2_pred_31.pdb,0.971
cf_dropout_full_woTemplates_model_4_multimer_v3_pred_3.pdb,0.971
cf_dropout_full_woTemplates_model_3_multimer_v1_pred_61.pdb,0.969
cf_woTemplates_model_4_multimer_v1_pred_61.pdb,0.968
cf_woTemplates_model_1_multimer_v1_pred_55.pdb,0.966
cf_woTemplates_model_4_multimer_v3_pred_33.pdb,0.966
cf_dropout_full_woTemplates_model_1_multimer_v3_pred_19.pdb,0.966
cf_woTemplates_model_3_multimer_v1_pred_56.pdb,0.966
cf_dropout_full_woTemplates_model_4_multimer_v2_pred_16.pdb,0.966
cf_woTemplates_model_2_multimer_v1_pred_9.pdb,0.966
cf_woTemplates_model_4_multimer_v3_pred_1.pdb,0.965
cf_dropout_full_woTemplates_model_3_multimer_v2_pred_31.pdb,0.965
cf_woTemplates_model_4_multimer_v2_pred_19.pdb,0.964
cf_woTemplates_model_1_multimer_v2_pred_11.pdb,0.963
cf_dropout_full_woTemplates_model_5_multimer_v1_pred_61.pdb,0.963
cf_dropout_full_woTemplates_model_1_multimer_v1_pred_56.pdb,0.963
cf_dropout_full_woTemplates_model_1_multimer_v3_pred_17.pdb,0.963
cf_woTemplates_model_4_multimer_v3_pred_12.pdb,0.962
afm_dropout_full_woTemplates_model_3_multimer_v2_pred_28.pdb,0.962
cf_dropout_full_woTemplates_model_1_multimer_v3_pred_25.pdb,0.961
afm_woTemplates_model_3_multimer_v2_pred_12.pdb,0.961
cf_woTemplates_model_3_multimer_v2_pred_45.pdb,0.961
cf_woTemplates_model_4_multimer_v3_pred_61.pdb,0.96
cf_dropout_full_woTemplates_model_1_multimer_v3_pred_48.pdb,0.96
cf_woTemplates_model_1_multimer_v1_pred_26.pdb,0.96
cf_woTemplates_model_4_multimer_v2_pred_7.pdb,0.959
cf_woTemplates_model_3_multimer_v2_pred_5.pdb,0.958
cf_woTemplates_model_3_multimer_v2_pred_26.pdb,0.957
cf_woTemplates_model_5_multimer_v2_pred_32.pdb,0.957
afm_dropout_full_woTemplates_model_5_multimer_v3_pred_25.pdb,0.957
cf_woTemplates_model_1_multimer_v3_pred_53.pdb,0.957
cf_woTemplates_model_4_multimer_v3_pred_34.pdb,0.956
cf_woTemplates_model_3_multimer_v3_pred_1.pdb,0.956
cf_woTemplates_model_1_multimer_v2_pred_55.pdb,0.956
cf_dropout_full_woTemplates_model_5_multimer_v2_pred_44.pdb,0.955
cf_dropout_full_woTemplates_model_1_multimer_v2_pred_7.pdb,0.955
afm_dropout_noSM_woTemplates_model_3_multimer_v2_pred_49.pdb,0.955
afm_woTemplates_model_4_multimer_v2_pred_16.pdb,0.954
afm_dropout_noSM_woTemplates_model_3_multimer_v2_pred_26.pdb,0.953
